description,avg_infid_PF1,std_infid_PF1,avg_infid_PF2,std_infid_PF2,avg_infid_CPF1,std_infid_CPF1,avg_infid_CPF2,std_infid_CPF2
nqubits=4,8.500000000001562e-06,5.787918451401501e-06,0.0,0.0,0.0,0.0,0.0,0.0
nsteps=1,3.52500000000075e-05,2.007330316615e-05,0.0,0.0,0.0,0.0,0.0,0.0
nshots=10^6,0.00010662500000001296,5.113202885668476e-05,8.124999999956084e-07,9.499177595834798e-07,0.0,0.0,0.0,0.0
pparam=0.1,0.00026024999999998966,0.00013351989552122786,1.5624999999963585e-06,1.2732217992036832e-06,0.0,0.0,0.0,0.0
"ticks=np.linspace(0.1,1,20)",0.0005260625000000005,0.0002641388055431367,4.7499999999978115e-06,3.7666297933331474e-06,6.250000000179723e-08,2.420614591449242e-07,0.0,0.0
0,0.0009282499999999985,0.00046624329753895455,1.2625000000016096e-05,6.460214779711492e-06,1.875000000053917e-07,3.903123749111236e-07,1.875000000053917e-07,3.903123749111236e-07
0,0.0015247500000000122,0.0007653814816808657,2.799999999998637e-05,1.4150971698089252e-05,2.5000000000025e-07,5.590169943693002e-07,0.0,0.0
0,0.002312437500000007,0.0011506010912100434,5.431249999998666e-05,2.746524792805978e-05,1.3749999999979057e-06,1.866648065378639e-06,3.1250000000204725e-07,5.829611908147284e-07
0,0.0034086250000000123,0.0017046649551671475,0.00010656250000000422,5.35104764859248e-05,2.624999999978339e-06,1.899835519191613e-06,2.187499999993514e-06,1.5090870584576419e-06
0,0.0047321875000000055,0.0023469714319402685,0.0001686249999999917,8.191449429129834e-05,4.687500000002953e-06,2.8661548719546236e-06,3.5624999999914198e-06,2.3443749166852603e-06
0,0.0063916875,0.003173708964263055,0.0002889999999999976,0.00014701488019924858,1.0437499999994826e-05,5.302932561324481e-06,9.624999999992279e-06,4.820204871158824e-06
0,0.0083105625,0.004132316510880287,0.0004429375000000041,0.0002135130173871055,2.156250000000942e-05,1.0012297126534597e-05,1.906250000000692e-05,8.926566739234922e-06
0,0.010521625,0.005180333952495246,0.000684374999999994,0.0003428191715394597,4.4687499999994384e-05,2.0535696816757523e-05,3.599999999998743e-05,1.6770509831239543e-05
0,0.012976499999999995,0.006359845890428483,0.0009910625000000076,0.000488525264028117,8.71875000000022e-05,4.128592185902453e-05,6.868750000000451e-05,3.1685404269947345e-05
0,0.015637312499999986,0.007733864385922712,0.0014240000000000017,0.0006976902070403508,0.00014556249999998772,7.088632515336625e-05,0.00012187499999998658,5.437586206213126e-05
0,0.01856350000000001,0.009139423190223773,0.0019756875000000104,0.0009712544542208024,0.000253062500000005,0.00011650829839007448,0.00020812499999998957,9.76926782056871e-05
0,0.021611125000000002,0.010655576473582971,0.0026901875000000033,0.001341629150452444,0.00041406249999999256,0.00019689320352349844,0.0003438124999999917,0.00016121112661274202
0,0.024731812500000006,0.01224664162239362,0.0035713749999999878,0.001789776273553474,0.0006715624999999933,0.0003076552390155998,0.0005421875000000131,0.00025686529026662237
0,0.027826312500000006,0.01377769698515842,0.00469087499999999,0.0023505445612399993,0.0010375625000000055,0.0004942355168275135,0.0008755000000000013,0.00041364039333701195
0,0.0309080625,0.015263354949308937,0.0060264374999999815,0.0029840857471081033,0.0015632500000000021,0.000727413525788467,0.0013261874999999992,0.0006370273952851314
