description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=hub_wc_2d,0.004360346740019083,0.0021228123581277835,6.132764591193384e-07,2.608904568077001e-07,1.1688129057557915e-06,2.0694093491047046e-05,5.153146174568847e-06,6.131972495886173e-07,4.560822869041993e-10,2.372823343466669e-09,5.018334945254634e-10,9.661953440199484e-11
CPF1&2,0.004622060688895121,0.002190070553989916,6.65660750250959e-07,2.887937902773087e-07,1.313329746765271e-06,2.258498785387486e-05,5.376818476596081e-06,6.65572213041093e-07,5.196255330261833e-10,2.7450052092873283e-09,5.805632985498568e-10,1.1009482709345874e-10
size=3*3,0.004899481821695951,0.0022580475720780056,7.223564308154734e-07,3.184834302605731e-07,1.4757144632576022e-06,2.4648655904175457e-05,5.577178761058341e-06,7.222572829559607e-07,5.853339054321385e-10,3.1755681378450655e-09,6.716441991671007e-10,1.2402808228527973e-10
nsteps=100,0.005193552676687822,0.0023265842251801432,7.836980504715668e-07,3.495989758869351e-07,1.6581758903376403e-06,2.690088356136866e-05,5.750263899505142e-06,7.835867512664659e-07,6.509764592561651e-10,3.673669890900128e-09,7.770135699919306e-10,1.37946574300997e-10
"ticks = np.logspace(0,1,num=80)",0.005505272331885885,0.002395481564662986,8.50044417101788e-07,3.8170638612939504e-07,1.8631961760169594e-06,2.9358898962755617e-05,6.129362984428276e-06,8.499191167395583e-07,7.330179507026384e-10,4.2499046389382446e-09,8.98914598050419e-10,1.5484310087067213e-10
,0.0058356997943420225,0.0024644912744575674,9.217806069242912e-07,4.1432810949388215e-07,2.093564175581407e-06,3.204150421092586e-05,6.687423703936068e-06,9.216390989307478e-07,8.338268350151952e-10,4.916529267782784e-09,1.0399384952996987e-09,1.761733683159001e-10
,0.006185957592315226,0.002533303055935936,9.993203326871237e-07,4.4700886108061787e-07,2.3524134899201334e-06,3.4969219153055556e-05,7.261072235224465e-06,9.991600170967013e-07,9.344896609852384e-10,5.687723094012816e-09,1.2030871020297388e-09,1.9745903103809805e-10
,0.006557235582432071,0.002601527838121344,1.0831088303084779e-06,4.794426153370907e-07,2.643265043723047e-06,3.8164438289763656e-05,7.835156417329086e-06,1.0829266900917496e-06,1.0309729140550699e-09,6.579888191422494e-09,1.391830240611374e-09,2.1783844131128592e-10
,0.006950794984666325,0.0026686748492550294,1.1736263864363982e-06,5.117131012942951e-07,2.9700749915978013e-06,4.16516020159681e-05,8.397103272111888e-06,1.1734189976690062e-06,1.118580663503763e-09,7.612000793188137e-09,1.6101841968089868e-09,2.363074225989398e-10
,0.007367972658722476,0.002734119384706858,1.2713927385300005e-06,5.44762389717465e-07,3.337288481390402e-06,4.5457383498577074e-05,8.934978090458236e-06,1.2711563324630344e-06,1.192278550637024e-09,8.80601391596329e-09,1.862792187782461e-09,2.5178239211357207e-10
,0.007810185636218058,0.002797056703952221,1.3769726636655351e-06,5.813156298754223e-07,3.749899995632936e-06,4.961089261775276e-05,9.76427937937161e-06,1.3767032200203634e-06,1.247338197001775e-09,1.0187322710815946e-08,2.1550297663092328e-09,2.632294515941993e-10
,0.00827893592390605,0.002856436424970092,1.4909830499897699e-06,6.274040647106971e-07,4.2135213268051176e-06,5.414389853687792e-05,1.0893153238172484e-05,1.4906765237552525e-06,1.2806145656608112e-09,1.1785307498655126e-08,2.4931139606094073e-09,2.698738233296656e-10
,0.008775815594084971,0.002910871972525289,1.6141019987874046e-06,6.929025981403343e-07,4.73445803324487e-06,5.909107258702575e-05,1.2136817229753926e-05,1.6137546058123782e-06,1.2964218538208202e-09,1.3633955247327182e-08,2.8842346830809275e-09,2.71543362148472e-10
,0.009302512179294498,0.0029585222554351196,1.7470804780675812e-06,7.867829639128846e-07,5.319794715156349e-06,6.4490253337274e-05,1.3475937038013806e-05,1.7466891205439195e-06,1.5033074138117956e-09,1.5772585232655e-08,3.3367141279810392e-09,3.187938153205742e-10
,0.00986081438940524,0.0029969488477812178,1.8907571962399995e-06,9.109440566385197e-07,5.9774916751164886e-06,7.038273586072197e-05,1.4880834119618723e-05,1.8903200633693502e-06,1.999061234586906e-09,1.8246683561866695e-08,3.860177044052366e-09,4.2327472076645823e-10
,0.010452618170279272,0.0030229616919847514,2.0460775175345005e-06,1.0616739408226408e-06,6.716492799571782e-06,7.681358741303011e-05,1.6309939801115912e-05,2.045594779381625e-06,2.6026177572382956e-09,2.1108871129950652e-08,4.465759734559668e-09,5.507990025261278e-10
,0.011079933124306086,0.0030324780994655074,2.2141171182036396e-06,1.2328947978467403e-06,7.54684744423021e-06,8.383199192911803e-05,1.7708222460242014e-05,2.213591794732877e-06,3.3059951496187815e-09,2.442002165442116e-08,5.1663435673380415e-09,6.995635842918196e-10
,0.011744889314315157,0.0030204299331591136,2.3961111387124498e-06,1.4166982730093935e-06,8.47984650586549e-06,9.149162596904518e-05,1.900580027819743e-05,2.39555000232691e-06,4.093863955820369e-09,2.8250555981536227e-08,5.976831249026796e-09,8.662788315768063e-10
,0.012449744473626737,0.0029807579655518382,2.593489157961545e-06,1.6027851195205397e-06,9.52817628751265e-06,9.985106898580793e-05,2.0117064675407385e-05,2.592903617783318e-06,4.938321219162957e-09,3.2681943112865743e-08,6.914463329124861e-09,1.045018577316613e-09
,0.013196891646341684,0.002906528256946596,2.807915705865517e-06,1.7778693516546968e-06,1.0706090465066374e-05,0.00010897425103074926,2.094072075635442e-05,2.807322366567332e-06,5.795132738912892e-09,3.780842619375202e-08,7.999185695055125e-09,1.2264107626869928e-09
,0.013988867283379808,0.0027901950643051563,3.0413349958939124e-06,1.92530234752085e-06,1.2029603871791889e-05,0.00011893094133650712,2.1361224855733477e-05,3.0407556589824448e-06,6.600505949296752e-09,4.3739031255338e-08,9.254070930622765e-09,1.396946755962841e-09
,0.014828359821271887,0.002624024433553592,3.2960168404244046e-06,2.0250242631025817e-06,1.3516709952831679e-05,0.00012979728147896857,2.1252184549335374e-05,3.2954775029031967e-06,7.26874513656017e-09,5.05998827870344e-08,1.070581224101226e-08,1.538483042596118e-09
,0.015718218772285252,0.0024006912743129594,3.5745987983348085e-06,2.0539587813931025e-06,1.5187625090849862e-05,0.0001416563672028661,2.0482433981984153e-05,3.574127221458267e-06,7.69153900830536e-09,5.8536885902852494e-08,1.2385290294177945e-08,1.6280812572456325e-09
,0.016661464356132253,0.00211408799472571,3.88011751672695e-06,1.98705419163404e-06,1.7065063116155948e-05,0.00015459888333654935,1.8925915691440376e-05,3.879739153124382e-06,7.739927752433454e-09,6.771882939574446e-08,1.4328226823315426e-08,1.6384099755980354e-09
,0.017661297705270043,0.0017605019777315331,4.2160210779398585e-06,1.7990072983545604e-06,1.9174543660512974e-05,0.00016872379664112648,1.6478159881283092e-05,4.215753415155198e-06,7.270402914988588e-09,7.83409715881153e-08,1.6575950275967086e-08,1.5390000745978796e-09
,0.018721111677660756,0.0013409061886135813,4.586154939606278e-06,1.4671373286123989e-06,2.1544738557492083e-05,0.00018413911187188761,1.3090780432235564e-05,4.586001011271927e-06,6.137711652368617e-09,9.062919072274187e-08,1.917626882193883e-08,1.298816746522307e-09
,0.019844502312825404,0.0008692053144929923,4.994717733025564e-06,9.776998817503967e-07,2.4207860967005694e-05,0.000200962696817762,8.905387185302481e-06,4.994660128207587e-06,4.224794672494377e-09,1.0484478946307026e-07,2.218448976321149e-08,8.919249421063107e-10
,0.02103528096909794,0.0004413086338293444,5.446189773092971e-06,3.6888046542814614e-07,2.720010252152429e-05,0.00021932318259363715,6.0489728820986934e-06,5.446186884425366e-06,1.8104289138960222e-09,1.212900457288003e-07,2.5664596765617807e-08,3.5457420038375906e-10
,0.02229748718217373,0.0005709208901145586,5.945244713549075e-06,6.380175751697932e-07,3.0562124332709137e-05,0.00023936094605894861,7.5147712406443705e-06,5.945230595655383e-06,2.951888570038057e-09,1.4031463902543638e-07,2.969060712114675e-08,6.05097450982755e-10
,0.023635402287358748,0.0011611136094018737,6.496660281547376e-06,1.6035914210101446e-06,3.433960857080926e-05,0.0002612291818218513,1.307430073138249e-05,6.496548760012191e-06,7.579405108739102e-09,1.623230798470898e-07,3.434814726378415e-08,1.590974267184686e-09
,0.025053563850356543,0.0018387136200365942,7.105245626373597e-06,2.701870180122672e-06,3.8583878026085736e-05,0.0002850950720094378,2.090062582944886e-05,7.10493799355543e-06,1.3069181024681019e-08,1.877833095142602e-07,3.9736273432918715e-08,2.7537547808455425e-09
,0.026556780954004225,0.002535426624832571,7.77579918704915e-06,3.847486595964637e-06,4.335259203535116e-05,0.0003111410626889828,2.9107935895782775e-05,7.775193951193118e-06,1.8993415284276152e-08,2.1723664057194014e-07,4.5969577916493985e-08,4.007285373851595e-09
,0.02815015039107339,0.0032201167966620743,8.513104522209667e-06,4.950097905270955e-06,4.871052815797758e-05,0.00033956625665835274,3.7138490423968914e-05,8.512107451313383e-06,2.483392122602366e-08,2.513092576724362e-07,5.318062435099849e-08,5.242378070517433e-09
,0.02983907381610483,0.0038684800576369504,9.321964030341157e-06,5.906332268100143e-06,5.473046016400436e-05,0.00037058793319782725,4.445849377769501e-05,9.32049706146692e-06,2.992707738423561e-08,2.907255269310884e-07,6.152276737190603e-08,6.31825408012972e-09
,0.03162927591225521,0.004461735029036481,1.0207263350322478e-05,6.611308139600543e-06,6.149414415249401e-05,0.00040444320632855465,5.0548232003054305e-05,1.0205271331422453e-05,3.351283502184027e-08,3.363233785885714e-07,7.117340732201116e-08,7.072981981683701e-09
,0.03352682363229413,0.004988613341636618,1.1174053515087906e-05,6.981025460022397e-06,6.909342612105341e-05,0.00044139083418428084,5.495804762984947e-05,1.1171507847923162e-05,3.485007946050302e-08,3.890721122785771e-07,8.233777065564566e-08,7.347337879263939e-09
,0.035538146576227315,0.005446874069999116,1.2227634560420596e-05,6.991043265935199e-06,7.76314858718627e-05,0.0004817131932380412,5.739330445933722e-05,1.2224532414520429e-05,3.3420332429397236e-08,4.5009298114681505e-07,9.525326473102941e-08,7.026119913607386e-09
,0.03767005857151978,0.005842513590668537,1.3373625785497303e-05,6.754524469106568e-06,8.722423403379567e-05,0.0005257184323737956,5.7823902586974655e-05,1.336998310149354e-05,2.9313128970421547e-08,5.206830104637432e-07,1.1019452097859406e-07,6.1122245660263746e-09
,0.03992978052558356,0.006186077828805657,1.4618015976893715e-05,6.695306157274986e-06,9.800188096816295e-05,0.0005737428231404572,5.6624435712442924e-05,1.4613853008015423e-05,2.7248969726006562e-08,6.023425359764909e-07,1.274792433814057e-07,5.749478798449632e-09
,0.04232496462406397,0.006487666842745894,1.5967202443161503e-05,7.385623211764003e-06,0.00011011069867633241,0.0006261533240325374,5.475780650227935e-05,1.5962523326227785e-05,3.784438383119988e-08,6.968070692325321e-07,1.4747494779638253e-07,8.00170753292024e-09
,0.044863719952527005,0.0067535123050971625,1.742804790647591e-05,8.550065538187397e-06,0.0001237149993559292,0.0006833503782178144,5.5965043933261065e-05,1.7422820294804068e-05,4.818271754593071e-08,8.060841398761417e-07,1.7060677942206292e-07,1.020161198787884e-08
