description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=hub_wh_2d,0.004360607669834839,0.0037030099633012384,5.897411931966887e-06,2.8359684641992597e-07,4.374257869589356e-07,1.553620593893785e-05,1.1868338309276593e-05,5.898085526284956e-06,1.3573880716964741e-09,2.08359673464259e-09,7.587240845489684e-11,4.895961811523506e-11
CPF1&2,0.004622353870648663,0.0038863230926275056,6.374381462266161e-06,3.096837096131939e-07,4.91514104281604e-07,1.6955830845435904e-05,1.2807099020182407e-05,6.375150865613332e-06,1.52689301294301e-09,2.4103459669257953e-09,8.780899693019482e-11,5.5047098589890456e-11
size=3*3,0.004899811241363252,0.004076189231095274,6.885851697849776e-06,3.374618789261938e-07,5.522904167088209e-07,1.850517287403934e-05,1.381019117514568e-05,6.886729810490573e-06,1.714084661268025e-09,2.7883415522106666e-09,1.0157811863544228e-10,6.174016423577732e-11
nsteps=100,0.005193922812788279,0.004272519733425239,7.433688898096716e-06,3.668925853186403e-07,6.205816652157178e-07,2.019608459478202e-05,1.4880436399993155e-05,7.434690191028526e-06,1.919992106201929e-09,3.2256242865564167e-09,1.175205285704897e-10,6.910152183742484e-11
"ticks = np.logspace(0,1,num=80)",0.0055056882163294464,0.0044751736491011815,8.01975834156513e-06,3.978960439720178e-07,6.973170458524607e-07,2.204150153769518e-05,1.6020501185720193e-05,8.020899007226967e-06,2.145478343405216e-09,3.731490873178462e-09,1.3590988968167117e-10,7.712556926809263e-11
,0.005836167080796411,0.004683951086807541,8.645903884662972e-06,4.303422027650373e-07,7.83540628491798e-07,2.405554114077408e-05,1.7232832137825772e-05,8.647201999822866e-06,2.391178063513954e-09,4.316704228930642e-09,1.572632819174924e-10,8.587395824070389e-11
,0.006186482633012102,0.004898586171410575,9.313923876165807e-06,4.640401863291526e-07,8.804255863592502e-07,2.6253610728281587e-05,1.8519580389835347e-05,9.315399558923348e-06,2.657396705914564e-09,4.9937080692954315e-09,1.8190469211784403e-10,9.532164068443167e-11
,0.006557825514462967,0.005118739645953341,1.0025543100262987e-05,4.987264700703602e-07,9.892901295746118e-07,2.8652525362385156e-05,1.9882514041473592e-05,1.0027218662961743e-05,2.943994675275804e-09,5.776901238679637e-09,2.1044909301016654e-10,1.0546944425563116e-10
,0.006951457826931389,0.005343991198748803,1.0782380480812727e-05,5.340518768985121e-07,1.1116154657295103e-06,3.127063645279122e-05,2.1322917470721727e-05,1.0784280584677566e-05,3.250265696004781e-09,6.682936886036744e-09,2.4347223540434007e-10,1.1628105567939723e-10
,0.007368717420852189,0.005573831630978437,1.1585912340969316e-05,5.695675870976916e-07,1.2490659128821184e-06,3.412797212043151e-05,2.2841476505959172e-05,1.1588064135294064e-05,3.574763543618326e-09,7.731087878011456e-09,2.816410762594157e-10,1.2769015436652453e-10
,0.007811022440944572,0.005807655025333635,1.2437431117195504e-05,6.050271243467255e-07,1.4035115774501497e-06,3.724639038298717e-05,2.443814848652211e-05,1.2439864347344282e-05,3.915136866307562e-09,8.943641588001686e-09,3.2586287173734695e-10,1.3961240248224635e-10
,0.008279876144544363,0.006044751133450212,1.3337999580420815e-05,6.646262092859414e-07,1.5770537641639287e-06,4.064974632958418e-05,2.6112016497188835e-05,1.334074666615447e-05,4.267932551865572e-09,1.0346393827634913e-08,3.769966849046561e-10,1.5190875203879909e-10
,0.008776872008987682,0.006284298272333842,1.4288400823932973e-05,7.289934940853366e-07,1.7720535772188163e-06,4.436407456683178e-05,2.786112745620613e-05,1.4291496894285135e-05,4.628379482628319e-09,1.196916745032214e-08,4.361330532389791e-10,1.6439081423974298e-10
,0.009303699145374355,0.006525357111278347,1.5289084634172106e-05,7.982947972205309e-07,1.9911640257689767e-06,4.841778833969697e-05,2.9682314238891887e-05,1.5292567483402733e-05,4.9902024615888e-09,1.3846478527301075e-08,5.044937371052362e-10,1.7681721320452493e-10
,0.009862148037079233,0.006766865845713271,1.6340111197467158e-05,8.726526114077912e-07,2.2373661137261386e-06,5.2841896825588494e-05,3.157100286153163e-05,1.634402115888474e-05,5.3454492609130874e-09,1.601825909492311e-08,5.836417044182324e-10,1.8890405420555003e-10
,0.010454116622479992,0.00700763739827405,1.7441093747964566e-05,9.521324698925743e-07,2.514009378634654e-06,5.767024228719681e-05,3.3521006885268e-05,1.744547344973383e-05,5.6844340876706935e-09,1.8530694400982576e-08,6.752374312382391e-10,2.0028968784194335e-10
,0.0110816167425218,0.007246359466911023,1.859114244484914e-05,1.0367268891162798e-06,2.8248574689874644e-06,6.293975887984079e-05,3.552431292396578e-05,1.859603641290698e-05,5.99588391277731e-09,2.1437213696031272e-08,7.811594421128753e-10,2.1056477134741634e-10
,0.011746780975001028,0.007481598461831806,1.9788812784922565e-05,1.1263366913666665e-06,3.174139304167939e-06,6.869075510187268e-05,3.757086344359015e-05,1.9794266862380932e-05,6.267506781253823e-09,2.4799635607344553e-08,9.036888024654448e-10,2.192974293204737e-10
,0.01245186987873181,0.007711808644758204,2.1032063111178523e-05,1.220749455943712e-06,3.566606605939983e-06,7.496722204217275e-05,3.964834651067438e-05,2.1038123641372772e-05,6.5538051337641025e-09,2.868946709896603e-08,1.0454776683587801e-09,2.383736788078639e-10
,0.013199279672151164,0.007935348109884386,2.231822749136919e-05,1.3196149829864982e-06,4.007598517345051e-06,8.181716977370744e-05,4.174200680329984e-05,2.2324940203074946e-05,7.293510584790055e-09,3.3189437028159866e-08,1.2094842182253231e-09,2.6562161679676256e-10
,0.013991550372410901,0.00815050362563865,2.3644012221717524e-05,1.4224177134048433e-06,4.503114210671464e-06,8.929299447715698e-05,4.3922354273936864e-05,2.365142079414617e-05,8.107787126300766e-09,3.8395246881631086e-08,1.3992319777694565e-09,2.9601034670024564e-10
