description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=hub_ic_2d,3.109817450727763e-08,6.250208512328074e-09,1.4439255304351335e-12,1.2011348722416345e-12,4.514403728496447e-12,1.1156019166740573e-12,4.256112577855303e-12,3.012337214882423e-12
CPF4&6,3.5976808399635786e-08,6.93022414528123e-09,9.566591011490203e-13,8.384459144399293e-13,5.3578966523581874e-12,7.621682910069356e-13,4.719087939144292e-12,3.690788052606892e-12
size=3*3,4.162078132410345e-08,7.646402377533295e-09,8.409861750335758e-13,5.880882582400006e-13,6.545597212510676e-12,9.547271863280074e-13,3.839583455596854e-12,2.725602495783885e-12
nsteps=100,4.8150142736655326e-08,8.40506076934897e-09,1.1358680032341566e-12,7.725054323908345e-13,8.216757079177952e-12,9.34654188291393e-13,8.052852958698671e-12,5.775274541550662e-12
"ticks = np.logspace(0,1,num=80)",5.5703786072941394e-08,9.435566874323091e-09,1.2609777708923532e-12,9.383342552454905e-13,9.864758138810431e-12,1.3239887617709534e-12,3.80183722488954e-12,3.005103548882016e-12
,6.444238319962294e-08,1.067870492206944e-08,1.766790507066672e-12,1.3965954391096492e-12,1.2184103475632248e-11,1.310009326882947e-12,4.1654928406005055e-12,3.3435624289180465e-12
,7.4551817781499e-08,1.2130495619772698e-08,1.189131180589184e-12,8.450681540334066e-13,1.4778960309200927e-11,1.5071081969877384e-12,3.4323380973309786e-12,2.9176389116752034e-12
,8.624712308364765e-08,1.381785896929176e-08,1.117522051771799e-12,6.909971225550294e-13,1.8312949449306852e-11,2.0555373550229594e-12,7.043246714838523e-12,5.044526578459557e-12
,9.977705729714838e-08,1.5816677129766647e-08,1.7127336971923398e-12,1.3399790833637686e-12,2.2225056565112e-11,2.1840809905757228e-12,3.0291318364296476e-12,2.224369031589273e-12
,1.1542940898700462e-07,1.8133555724753464e-08,1.5653487141502365e-12,5.402533937426783e-13,2.734997099501803e-11,2.6457898603761787e-12,5.46845612352431e-12,4.282211647108289e-12
,1.3353709765572555e-07,2.059687746127356e-08,1.8459747376066663e-12,7.979479586536996e-13,3.366369226804039e-11,3.1849082858931845e-12,4.274697736114355e-12,3.123962889350293e-12
,1.5448525740386436e-07,2.3348001466840447e-08,2.2453694999593036e-12,1.0688797867505902e-12,4.104605254292524e-11,3.7953036802522284e-12,5.301251871219764e-12,4.232844448410081e-12
,1.7871944143049718e-07,2.649691886373463e-08,2.7211235142231437e-12,7.546441024768702e-13,5.023756449615503e-11,4.218736607135008e-12,3.7779596245397915e-12,2.522367374676565e-12
,2.0675506886580622e-07,2.998615430764875e-08,3.3390035020752296e-12,6.322010980458103e-13,6.161579704474106e-11,5.148182145368063e-12,5.134183646415977e-12,4.046586777346683e-12
,2.3918840917243157e-07,3.38668056426901e-08,4.155417268821001e-12,8.801480207322506e-13,7.554638041070454e-11,6.317145840728567e-12,4.2108953114998e-12,3.2087790724963863e-12
,2.767092418030104e-07,3.823670696353093e-08,5.015818956647652e-12,9.091245030742409e-13,9.265090199830303e-11,7.743280573383164e-12,6.54521422588894e-12,5.016486022864186e-12
,3.201155268452285e-07,4.324331071759004e-08,6.120951327122187e-12,6.440162505820676e-13,1.1358482785411574e-10,9.33433241838769e-12,4.545091601790454e-12,2.792827027027638e-12
,3.703303722852768e-07,4.906327413789277e-08,7.617906011335715e-12,8.332546000313457e-13,1.3928131982642046e-10,1.1007034649243343e-11,3.756824549036771e-12,2.186665377510484e-12
,4.284216570292068e-07,5.587663263513198e-08,9.35728338249666e-12,7.912407166025876e-13,1.7077885187080397e-10,1.290275213045462e-11,3.718483589491796e-12,2.571193270210424e-12
,4.956247077846944e-07,6.385434488720454e-08,1.133605325876002e-11,1.2536781105161786e-12,2.094289322982258e-10,1.514220615147418e-11,4.209726051485503e-12,2.8169140023609627e-12
,5.733686043130026e-07,7.509201148488938e-08,1.3733097806637844e-11,9.26830264668602e-13,2.5682711682213615e-10,1.7968570366194123e-11,5.034662638243024e-12,3.3091694170999395e-12
,6.633065065428099e-07,8.89369543695171e-08,1.6976700448310525e-11,1.2320978166728232e-12,3.1493772569983564e-10,2.1806201138738876e-11,3.75300699364467e-12,2.7692645513190858e-12
,7.673508155134037e-07,1.0441274139607606e-07,2.0663216222687065e-11,1.3956050026292536e-12,3.862166263601253e-10,2.737662856589109e-11,6.729853132408752e-12,4.043755765163557e-12
,8.877138076622543e-07,1.2113438412787166e-07,2.5453433389195468e-11,1.8241421862700184e-12,4.735725336024816e-10,3.523327417308325e-11,5.8626278022205805e-12,3.877313965831421e-12
,1.0269546359737456e-06,1.3880082496947243e-07,3.117246769011944e-11,2.2713804314194674e-12,5.807549736554279e-10,4.47952133931859e-11,6.128444070907425e-12,3.7289417727521224e-12
,1.188033742084416e-06,1.573797434720485e-07,3.808115302644824e-11,2.7936637969603607e-12,7.121403707696984e-10,5.452351786417836e-11,4.813734901071912e-12,2.766615302264354e-12
,1.3743757239188065e-06,1.7732494521959797e-07,4.67303450939413e-11,3.1942278990897526e-12,8.73275751493806e-10,6.257288691016149e-11,2.8716542807178155e-12,1.9602972087560853e-12
,1.5899420850972065e-06,1.9974627131796648e-07,5.726577567193723e-11,3.423500802122085e-12,1.0708744164328395e-09,6.778648587462325e-11,4.946976693632457e-12,3.056925144997593e-12
,1.8393154517541144e-06,2.2635529278972939e-07,7.024127110037636e-11,3.589230785426429e-12,1.3131725813596072e-09,7.26158830884331e-11,4.815139383542232e-12,3.0143057874852258e-12
,2.1277968363267067e-06,2.590166392599177e-07,8.60903207098299e-11,4.0296468933108345e-12,1.6102940683142348e-09,8.570424727282424e-11,3.2483734280540964e-12,1.836474920806436e-12
,2.4615182824080345e-06,2.9906767922173093e-07,1.0558324908572811e-10,5.38293276543286e-12,1.974643794593285e-09,1.1438886846437879e-10,6.32075251559884e-12,3.0726101427350995e-12
,2.8475730824340943e-06,3.470142176236866e-07,1.2947401911096053e-10,7.620261688042396e-12,2.4214140529067324e-09,1.5876371325617085e-10,5.592783577885572e-12,3.66809500786398e-12
,3.2941664003623033e-06,4.0304190087093023e-07,1.5876432519243515e-10,1.0360702250166797e-11,2.9692701987639735e-09,2.1122791287827808e-10,5.547160160524637e-12,3.4448412159452282e-12
,3.8107894844960085e-06,4.6801997874157836e-07,1.9467447790392302e-10,1.2757705676334503e-11,3.6410412433246658e-09,2.576706607029853e-10,3.78225061194036e-12,1.97632629738196e-12
,4.408421167044669e-06,5.44024652001838e-07,2.3873480552216574e-10,1.3874462002388105e-11,4.4647807366608145e-09,2.817668858726849e-10,3.994450345894872e-12,2.414220297737781e-12
,5.099760958477818e-06,6.333200635927058e-07,2.9274076798638357e-10,1.3044677976320086e-11,5.474867935248036e-09,2.7636671022137806e-10,4.486669049203447e-12,2.6245981845368324e-12
,5.899498531963754e-06,7.358934702540123e-07,3.5898071673491953e-10,1.2895708795687146e-11,6.713434694229732e-09,2.910602693940127e-10,5.367079835788621e-12,3.149849077385387e-12
,6.824625461908248e-06,8.479114330403419e-07,4.4020528679388825e-10,1.7477042278116636e-11,8.232174913060469e-09,4.018105076733584e-10,5.827619741989569e-12,3.2542425815515095e-12
,7.894795823334897e-06,9.644159760107361e-07,5.397932042918024e-10,2.6468355849580635e-11,1.009441343541936e-08,5.74518202107479e-10,4.553426283741825e-12,2.584869069544725e-12
,9.132743066009378e-06,1.0875816774202311e-06,6.619191336468376e-10,3.582848352356236e-11,1.2377861189044847e-08,7.529501530247611e-10,3.782179523047483e-12,2.219231586971922e-12
,1.0564762278178915e-05,1.2370509743664339e-06,8.116755295354401e-10,4.154968849706136e-11,1.517776371185151e-08,8.668427742671256e-10,5.261256683088421e-12,3.165615644230088e-12
,1.2221267783928692e-05,1.434670672213234e-06,9.95306016303682e-10,4.042664344695416e-11,1.8610871836981802e-08,8.687797426252646e-10,4.301779701360144e-12,2.3183224421327005e-12
,1.413743804680848e-05,1.6946507843371863e-06,1.22048394788942e-09,4.032346114434816e-11,2.282039038043076e-08,9.586582243811146e-10,4.189730864650693e-12,2.09662856336945e-12
,1.6353961428281142e-05,1.9941785608396193e-06,1.4965815116747385e-09,5.726500500762959e-11,2.7981833151378206e-08,1.3222124994205138e-09,4.359713475798872e-12,1.855953425738745e-12
,1.8917898495412263e-05,2.3020783988919843e-06,1.8351347871601228e-09,7.532706695087296e-11,3.431043835757315e-08,1.7111830857081692e-09,3.122439503533174e-12,1.5710586566721588e-12
,2.1883679254119487e-05,2.614995025975145e-06,2.2502649644906608e-09,8.768699502139189e-11,4.207003095284449e-08,1.9896483007821633e-09,4.829196328207245e-12,3.0704278991765286e-12
,2.531425613228255e-05,2.977605356813749e-06,2.759294888213036e-09,9.445061631400001e-11,5.1584047768132694e-08,2.087421862000238e-09,3.847617302079344e-12,2.320894312982424e-12
,2.928243732150617e-05,3.4389970335340913e-06,3.3834416352871797e-09,1.2233299335138004e-10,6.324909882811884e-08,2.600226712477762e-09,6.799509615718554e-12,4.536136932455718e-12
,3.387242818813627e-05,3.9915664788279796e-06,4.148741500360024e-09,1.5906728498082022e-10,7.75512985761946e-08,3.5078235066090096e-09,4.696305673489061e-12,2.1862274283744047e-12
,3.9181613751570586e-05,4.611236773992284e-06,5.087106820085949e-09,1.8119606717152233e-10,9.508661964187076e-08,4.1750187652729035e-09,3.812330543052566e-12,2.301377728442369e-12
,4.532261923766401e-05,5.336482548174548e-06,6.237679487597143e-09,1.7940581943811836e-10,1.1658566707752508e-07,4.493751548834993e-09,4.978492817280883e-12,3.0475289619703203e-12
,5.242569259836626e-05,6.221847263945004e-06,7.648414315587006e-09,2.5279448678916446e-10,1.4294403212083324e-07,5.531553363684249e-09,4.613090847407417e-12,2.560623936773075e-12
,6.0641458479441496e-05,7.208985015220094e-06,9.378144938224305e-09,3.300980264542049e-10,1.7525952961106048e-07,7.2023081208614234e-09,6.114456859747554e-12,3.376391120448044e-12
,7.01441023374965e-05,8.205209830346612e-06,1.1498928404673472e-08,3.622953541920302e-10,2.1487791774235343e-07,8.463642785350101e-09,5.1083143598562716e-12,2.3928983690981676e-12
,8.113505080430163e-05,9.344582927097794e-06,1.4099205416247628e-08,4.2583494761460637e-10,2.6344868987107534e-07,1.0347603591748776e-08,6.951994613210267e-12,2.6143936534343128e-12
,9.384722604887325e-05,1.0906295005414454e-05,1.7287289069699738e-08,5.82878037347995e-10,3.2299375402407275e-07,1.339854548080269e-08,8.180980860984544e-12,1.7099182399155803e-12
,0.00010854996310469455,1.2830790195186029e-05,2.119606876928941e-08,6.623872053065231e-10,3.9599125081967407e-07,1.537606660823592e-08,1.0541301423032343e-11,2.200669017017077e-12
,0.0001255546934210692,1.4806906053653522e-05,2.598836219160657e-08,6.474187135835015e-10,4.854786004968337e-07,1.6877729536207855e-08,1.3639680183715953e-11,2.6480441401489818e-12
,0.0001452215133429862,1.6873252391718608e-05,3.186379213425189e-08,9.425814168454218e-10,5.951784816737098e-07,2.3192326275757907e-08,1.7851442012736446e-11,3.8715828635693595e-12
,0.00016796677510811907,1.9405983010797434e-05,3.9067047474564006e-08,1.2287512198415692e-09,7.296532206028197e-07,2.9422043004373176e-08,2.3886508245455072e-11,2.3828928615531058e-12
,0.000194271858837496,2.253168347681761e-05,4.7898063117007523e-08,1.1699645905615927e-09,8.944941143408964e-07,3.1454702436858054e-08,3.063128830072037e-11,2.025589993528091e-12
,0.00022469330862744574,2.614891851298964e-05,5.872451826608943e-08,1.3955784612367103e-09,1.096553092538136e-06,3.784411520654449e-08,3.883776295447563e-11,2.1146009644125163e-12
,0.00025987454413678207,3.027542224074354e-05,7.199703572668483e-08,1.8809575809089665e-09,1.3442266737370418e-06,4.8696027864308945e-08,5.0015133363941065e-11,1.9286575362063204e-12
,0.0003005593910075954,3.487764224767934e-05,8.826789199528769e-08,2.3100593201518965e-09,1.6478036504252622e-06,5.991679677330587e-08,6.511968596604975e-11,2.6369273025305872e-12
,0.00034760771225607193,4.0018337552435245e-05,1.0821416857542706e-07,2.4438106307788685e-09,2.0198910105801275e-06,6.811663989407614e-08,8.513865634609713e-11,2.4715082205638264e-12
,0.00040201346447205994,4.643883781379476e-05,1.3266540819013555e-07,2.583520682661409e-09,2.4759352671060278e-06,7.767069670968745e-08,1.0979113955943972e-10,2.863438826806607e-12
,0.000464925553212105,5.4106662575184226e-05,1.6263847796131062e-07,4.690158418867123e-09,3.034861334352964e-06,1.1290181945027093e-07,1.4277126129192753e-10,3.3897494710570957e-12
,0.0005376719198726046,6.20126399298967e-05,1.9937939355297672e-07,4.221272625911493e-09,3.71985426262024e-06,1.202698379665044e-07,1.850767369871771e-10,2.973376808896621e-12
,0.0006217873570897077,7.143947408733641e-05,2.4441522500568984e-07,5.3348386127125725e-09,4.559316691066975e-06,1.455535801173735e-07,2.4090981240625215e-10,4.116339526435598e-12
,0.0007190456267256186,8.298504921275581e-05,2.9961716214542397e-07,8.095484090121883e-09,5.588040590222086e-06,1.9976923295467047e-07,3.1306626469642326e-10,7.363983142574816e-12
,0.0008314965417646801,9.591907738429118e-05,3.6727798167698147e-07,6.9369391246011405e-09,6.84864202917625e-06,2.1308283772107679e-07,4.059203456955996e-10,4.690040736491964e-12
,0.000961508773997189,0.00011051620556669066,4.502071179538309e-07,1.1444195410919619e-08,8.393316570714219e-06,2.960460013430267e-07,5.276166058369661e-10,1.1305324716148302e-11
,0.0011118192653743531,0.00012745266049576665,5.518466594806669e-07,1.0170552116186542e-08,1.0285988075025211e-05,3.173302549507534e-07,6.851475141742628e-10,6.6920218081161506e-12
