description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=hub_ic,0.004755789830490795,0.002079416938328705,8.671003930516509e-07,3.6029906230788064e-09,1.9247205429954112e-08,3.948107315652258e-06,1.2170332274383795e-06,8.671019827196722e-07,3.6440378134298534e-12,1.8468684230621575e-11,1.6792038954959119e-12,1.0469929895761043e-12
CPF1&2,0.0055592885372722145,0.0022798252012138733,1.0547003346381815e-06,4.331278634415629e-09,2.6300199760936794e-08,4.989807727208516e-06,1.4171961606947902e-06,1.054702359988752e-06,5.487965621875189e-12,2.699334771228438e-11,1.6175238202982157e-12,1.2086185159645253e-12
size=10,0.006498539581475639,0.0024993901187026933,1.3050850857510533e-06,6.022343514435049e-09,3.593785785914104e-08,6.306358629220796e-06,1.7221444264849046e-06,1.3050881591631618e-06,8.227160895444487e-12,3.9349230703008046e-11,2.3432363122106083e-12,1.1541165432321235e-12
nsteps=1000,0.007596478483316427,0.0027189596442727744,1.6324303015089458e-06,8.641741530597614e-09,4.910720312924859e-08,7.970278693427692e-06,2.1594179985755757e-06,1.6324352699365584e-06,1.2410879963834867e-11,5.756327571175939e-11,2.282051064022446e-12,1.1510887910759838e-12
"ticks = np.logspace(0,2,num=60)",0.008879915730110063,0.0029217381394602265,2.048427944681065e-06,1.2157708919014694e-08,6.710220480302202e-08,1.0073220442788101e-05,2.723126077472674e-06,2.0484358106115487e-06,1.8112075393683686e-11,8.432409440068141e-11,3.39369693803744e-12,1.3811911378427478e-12
,0.010380191447754372,0.0031118061405870333,2.561521229560853e-06,1.5675851796361838e-08,9.169173821003025e-08,1.2731018653224277e-05,3.411554266505912e-06,2.56153309683086e-06,2.600057280366501e-11,1.2366840155478223e-10,4.937513230621196e-12,1.3654178455908024e-12
,0.012133940676026777,0.003341157985447176,3.1738800257217344e-06,2.0224077396621293e-08,1.2529206072246395e-07,1.609007076537398e-05,4.197017447157992e-06,3.1738968208253338e-06,3.765728310319947e-11,1.815475270375188e-10,7.210833062909105e-12,1.7454229841717598e-12
,0.01418398793288968,0.003663222020840754,3.879661199960606e-06,2.6090684585611793e-08,1.7120470226049697e-07,2.0335400694583197e-05,5.00119766987165e-06,3.879682638278216e-06,5.3414393422962336e-11,2.667467750102722e-10,1.061144587516992e-11,2.4151024007663625e-12
,0.016580392909370443,0.00404797417254338,4.6777626586091245e-06,3.1234324617442104e-08,2.339421698520886e-07,2.5700850276870696e-05,5.698083252658225e-06,4.6777849925481405e-06,7.304138371155802e-11,3.9222517536476836e-10,1.5743170414980535e-11,3.3040576970742636e-12
,0.019381672825982934,0.004450601215264291,5.7489713240427846e-06,3.714100917256162e-08,3.19669516976733e-07,3.248195962535283e-05,6.664089920725105e-06,5.748992519099079e-06,9.76003089783441e-11,5.770966454068288e-10,2.3156131311968848e-11,4.592207850137016e-12
