description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=hub_wc,0.00023778951672424317,0.00011946192584007755,1.7640669522790393e-09,1.1914105966618545e-10,4.798148148824647e-10,9.620265799710068e-08,3.0403605383127794e-08,1.764068313141409e-09,1.1186931356905803e-12,1.6659220717287269e-12,3.2196881394984414e-12,2.1724915861119755e-12
CPF1&2,0.00027796446127175187,0.00013230641328319044,2.2090339959292364e-09,1.3355929052910682e-10,6.557373154994971e-10,1.2158554944857472e-07,3.116872392359069e-08,2.209032019727299e-09,1.419013816880451e-12,2.554342641661619e-12,2.2204777049885822e-12,1.8616330977826682e-12
size=10,0.0003249270260964202,0.00014754805638468704,2.766990415028219e-09,1.5277614396374337e-10,8.961144549295012e-10,1.5366566875701074e-07,3.267577435198142e-08,2.766988963410788e-09,1.5246899507295489e-12,1.8874133101710046e-12,1.7763736384227605e-12,1.4389959225365744e-12
nsteps=1000,0.00037982398841570876,0.00016492899841821356,3.466749289906217e-09,1.9548054146581854e-10,1.223858908360141e-09,1.9421006461693627e-07,3.6126650616533164e-08,3.46674258480947e-09,1.2087024637365826e-12,2.00461757802372e-12,2.3315394437233673e-12,1.6587975702096749e-12
"ticks = np.logspace(0,2,num=60)",0.00044399587430628143,0.00018389212089524822,4.3439943359129675e-09,2.817697506716937e-10,1.673058474396275e-09,2.454520210360251e-07,4.249930741773794e-08,4.343994948866423e-09,1.823958372546528e-12,2.8885082233321486e-12,1.66682548972003e-12,1.4784452161198616e-12
,0.0005190096923479526,0.00020366206281540966,5.4428027385158614e-09,4.0256740096071133e-10,2.285187469837508e-09,3.102140636992091e-07,5.447590812594816e-08,5.442800897524868e-09,1.1032585786047855e-12,1.797158180920226e-12,1.998637496410814e-12,1.4747528442780779e-12
,0.0006066971977145597,0.00022329692720146648,6.817685387763869e-09,5.390440005088831e-10,3.1224817619487653e-09,3.9206344190235624e-07,6.971645034447258e-08,6.817688846926942e-09,1.0620863210237843e-12,2.008521812911591e-12,1.7787172552795335e-12,1.0669039568844933e-12
,0.0007091996206291418,0.00024201342153067277,8.58895166085045e-09,6.70088342626608e-10,4.266807603283929e-09,4.955086079747078e-07,8.494650460340201e-08,8.58895302788618e-09,2.3324330411678506e-12,3.814682712302876e-12,1.2253120420738364e-12,9.848390369704733e-13
,0.0008290199515301409,0.0002582867155176624,1.0838423896770542e-08,8.702724621317854e-10,5.830219583217065e-09,6.262475648752543e-07,1.079302625238167e-07,1.0838431750146845e-08,1.3295217350336184e-12,2.5844240783642505e-12,3.2360475764518493e-12,1.9415054223688217e-12
,0.0009690840595208438,0.00027063906149105913,1.3675610198645977e-08,1.1954651080968633e-09,7.966803399331424e-09,7.914817113812037e-07,1.3547818895587616e-07,1.36756268756699e-08,8.949536410011165e-13,2.7092425997428605e-12,1.685183037882921e-12,1.070918336971469e-12
,0.001132812136186773,0.0002782385636137781,1.724876906863457e-08,1.5242178070732579e-09,1.0886077389205887e-08,1.0003125218290381e-06,1.5348157402740894e-07,1.7248797361759585e-08,1.8973101507721467e-12,4.5964402259959916e-12,1.906121360400049e-12,1.471539495132362e-12
