description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wh3,2.37789643113722e-05,2.2800384068589268e-05,9.501208477596038e-11,2.095152217338893e-12,2.2205108342933535e-12,1.9926051005670227e-09,1.910227127076958e-09,9.501198962705734e-11,6.287689539873025e-13,6.661479362307845e-13
alpha=0.01,2.77964634258133e-05,2.6462113625553792e-05,1.1989958436110744e-10,2.871375992515748e-12,3.0972406482466823e-12,2.5183505460544137e-09,2.3969057365598024e-09,1.1989968134136915e-10,1.0926765027052368e-12,1.7763772960285827e-12
CPF1&2,3.249272617878296e-05,3.0673915977389114e-05,1.512699389467408e-10,3.86420822772971e-12,4.196922861776971e-12,3.1828133029372496e-09,3.0038438712158847e-09,1.5126988387316894e-10,1.455546694849443e-12,2.664555591862652e-12
size=10,3.798243105082995e-05,3.5504305971878345e-05,1.9079502833879462e-10,5.245193292090386e-12,5.602291833378165e-12,4.02259115610189e-09,3.758955491611894e-09,1.9079508009934517e-10,6.811818608395956e-13,7.771735644057875e-13
nsteps=1000,4.439963146354751e-05,4.102484403106508e-05,2.4057119584370435e-10,7.0619320584809115e-12,7.88054942406357e-12,5.083944678709063e-09,4.6957842708875324e-09,2.4057106866074277e-10,1.1861576482422742e-12,2.220465392466231e-12
"ticks = np.logspace(0,2,num=60)",5.19010293594988e-05,4.730776999396898e-05,3.0322319674325055e-10,9.285108137190948e-12,1.0457902453985773e-11,6.425334275849652e-09,5.8541637086972416e-09,3.0322323151263063e-10,1.7886295629311337e-12,2.6645388561542197e-12
,6.066980194767594e-05,5.4422323487088606e-05,3.820349657705058e-10,1.2659618223480332e-11,1.4427150703716722e-11,8.120647766130617e-09,7.2807467216866394e-09,3.820350350250963e-10,1.1031711164354397e-12,1.998416768906828e-12
,7.092007434847301e-05,6.242927554548969e-05,4.811078928537975e-10,1.7025603601154806e-11,1.9438786794721977e-11,1.0263265018005028e-08,9.029174914459271e-09,4.811077850628791e-10,1.4776831487334843e-12,2.664535724339879e-12
,8.2902148588169e-05,7.137306766327662e-05,6.055584463376076e-10,2.2498884841938282e-11,2.6070623223192404e-11,1.2971209105106768e-08,1.1159603619383288e-08,6.055583584895062e-10,1.175635225712028e-12,2.3315496076873924e-12
,9.690861554033672e-05,8.127081214487093e-05,7.617633945830613e-10,3.011342918685674e-11,3.575847575379213e-11,1.6393639414159627e-08,1.3737134087432227e-08,7.617631825446133e-10,1.8074071087726729e-12,2.886682617653703e-12
,0.00011328150000864426,9.209726302794432e-05,9.576573608945146e-10,3.948465688657099e-11,4.879451744593694e-11,2.0719070969808776e-08,1.6828550434010868e-08,9.576571556010905e-10,8.669077832735317e-13,1.110233767245329e-12
