description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=_hub_ic,1.6792038954959119e-12,1.0469929895761043e-12,4.9960126739758625e-12,4.244421057428638e-12,1.0658186434165805e-11,6.396260019373986e-12,3.2973728634752666e-11,2.5011750372857663e-11
CPF4&6,1.6175238202982157e-12,1.2086185159645253e-12,5.218068963668805e-12,4.020333407391715e-12,6.106249302883839e-12,5.290259231398829e-12,2.7089556112091722e-11,2.3369983059528753e-11
size=10,2.3432363122106083e-12,1.1541165432321235e-12,9.103833957480791e-12,5.593816554339266e-12,5.995454855639797e-12,5.088301390142543e-12,3.130852176005028e-11,2.7930170498921546e-11
nsteps=1000,2.282051064022446e-12,1.1510887910759838e-12,7.993628287019049e-12,5.5999155562992955e-12,7.327589545716721e-12,6.141642730336394e-12,2.6090421207464437e-11,2.1434838762679057e-11
"ticks = np.logspace(0,2,num=60)",3.39369693803744e-12,1.3811911378427478e-12,6.217398772108545e-12,5.311342513429526e-12,6.661435775619766e-12,4.755383819916413e-12,4.9960377468699294e-11,2.8932168867552867e-11
,4.937513230621196e-12,1.3654178455908024e-12,6.3283057219056305e-12,5.573297140971599e-12,5.5512491956189075e-12,4.3283326060734055e-12,2.5868470319280743e-11,1.8430008198009328e-11
,7.210833062909105e-12,1.7454229841717598e-12,1.0103057265342562e-11,5.312940705604773e-12,1.0103121533049887e-11,7.830860302302237e-12,3.064232653572804e-11,2.1432315191593e-11
,1.061144587516992e-11,2.4151024007663625e-12,6.883476582676245e-12,3.818447270649775e-12,7.105490627270884e-12,5.097900592055766e-12,2.786725769725245e-11,1.8000505071413155e-11
,1.5743170414980535e-11,3.3040576970742636e-12,1.2878654732617319e-11,9.025919659063368e-12,5.3291588509786565e-12,4.926688613451221e-12,2.5982096516641858e-11,1.8411406783746698e-11
,2.3156131311968848e-11,4.592207850137016e-12,4.6631421599679564e-12,3.45833338352374e-12,9.104007705126842e-12,6.55837468289328e-12,3.130888814227457e-11,2.609429137688223e-11
,3.418514752599494e-11,6.632035884731919e-12,4.9965798849132455e-12,3.4229666863708023e-12,7.660660134372165e-12,4.49940488977843e-12,2.209449037362513e-11,1.4654635483920126e-11
,5.047403434429092e-11,8.957072453772417e-12,8.104707640433265e-12,5.092985623996022e-12,7.772188022982038e-12,5.6475098889838986e-12,2.9424735793042856e-11,2.2583947054260895e-11
,7.456112582720518e-11,1.4256585279514264e-11,7.660912207149769e-12,5.346348738503902e-12,1.0103341915410193e-11,7.127770611146503e-12,3.0311465211465165e-11,2.291504484265794e-11
,1.1014823283237699e-10,2.1680668289684367e-11,7.105785545405391e-12,5.61223313338824e-12,6.883708825000173e-12,4.901393805758071e-12,3.486195929299233e-11,1.5025174351484915e-11
,1.627351020138074e-10,3.020255572110996e-11,1.1213533614105661e-11,4.80478617022838e-12,7.549953636190358e-12,4.083065021980939e-12,2.2106018861482294e-11,1.6721824839457602e-11
,2.4041663296047984e-10,4.152239696920056e-11,5.441277374815504e-12,3.729069464327803e-12,9.99254655584203e-12,6.791523806245163e-12,5.0405475814110534e-11,2.51913816889124e-11
,3.551831012755166e-10,6.171108117023705e-11,4.777804266284439e-12,3.949417504780352e-12,5.887331969351958e-12,3.881359314172385e-12,3.908134237507488e-11,1.850895641632392e-11
,5.247354090433715e-10,9.539317556535818e-11,6.772506674707908e-12,4.465910928008955e-12,4.775319829477221e-12,3.673355134096253e-12,3.0310674163139415e-11,1.7826469305027195e-11
,7.752395555093694e-10,1.3517990844046602e-10,4.9960935652513485e-12,2.7063285789652456e-12,6.883852361992746e-12,4.4038554054368166e-12,3.2642922637434715e-11,2.155466642850824e-11
,1.1453126816225704e-09,1.9284162185384605e-10,4.999358618459163e-12,3.134231974441114e-12,6.6702318542191504e-12,4.420419576053735e-12,3.133829567906452e-11,2.5088365346147153e-11
,1.692051488909517e-09,2.9458134119358947e-10,1.0436658891599086e-11,5.3444833991658015e-12,7.55543490845906e-12,5.074387556065923e-12,3.564168238454495e-11,2.1734647087845256e-11
,2.4997957980579473e-09,4.3341501124185643e-10,1.1546846510703094e-11,4.979386030907759e-12,1.28794698967236e-11,5.9593359906933506e-12,3.564025308937482e-11,1.931313751287588e-11
,3.6931365509099037e-09,6.178353786876213e-10,5.670887025469873e-12,3.24188862868957e-12,6.668124394210941e-12,4.708905419630267e-12,3.3645074917694516e-11,1.862958291521772e-11
,5.456133462291639e-09,9.440602870351682e-10,5.891978220012762e-12,4.825223030835715e-12,7.774505553854294e-12,6.176212676525752e-12,2.8011511213529465e-11,1.5225968158790797e-11
,8.060752401802665e-09,1.3438585314886495e-09,5.218877352966127e-12,4.566778890229281e-12,8.885412684776755e-12,5.891118191504395e-12,5.3519968636811354e-11,2.8704166104169885e-11
,1.1908712556055125e-08,2.0368826897401572e-09,6.33728867592397e-12,3.846659500428395e-12,6.6698803590032455e-12,3.4317684441158547e-12,3.235792555434121e-11,1.915205350255969e-11
,1.759359354813913e-08,2.944515340135843e-09,6.4397125657539485e-12,3.2142232747803867e-12,8.109590175701527e-12,3.73040822589331e-12,2.2398185130004378e-11,1.503584529124361e-11
,2.599222886577816e-08,4.4067440929415385e-09,5.779759598957965e-12,3.4079234179318724e-12,8.469796591399793e-12,4.060837035846608e-12,3.0479709019469274e-11,1.8641902647846026e-11
,3.84000892704343e-08,6.402663600166465e-09,7.008697687437708e-12,4.943975472303694e-12,9.038561052390773e-12,4.312584764532061e-12,2.4889480184189862e-11,1.7855355605014367e-11
,5.673099449515672e-08,9.51118161698695e-09,6.996016844308559e-12,3.424610108673891e-12,1.1707822197827651e-11,6.5837410998638006e-12,3.8199805657361704e-11,2.4613318412049523e-11
,8.381238342431281e-08,1.4113441496488215e-08,5.582616721458542e-12,2.852254506509808e-12,9.627757929255011e-12,5.353306280493226e-12,4.0896687919296334e-11,2.347169181516095e-11
,1.2382123430032655e-07,2.071234082923602e-08,9.225008665923504e-12,4.410234764527235e-12,9.913092117386061e-12,4.26729076276071e-12,2.1820123013637386e-11,1.2265613636641228e-11
,1.8292849750778695e-07,3.0442475296759295e-08,9.227821987731376e-12,3.2529243678064363e-12,1.8020641226662336e-11,4.317914050753301e-12,3.9979244729400733e-11,1.9286966165639372e-11
,2.7025059645056384e-07,4.4987327188497064e-08,7.139457523527609e-12,3.3882105657807183e-12,2.7443987554071852e-11,4.8314000607714924e-12,5.0430506514116864e-11,2.8413116203110187e-11
,3.992555719555026e-07,6.651622796148924e-08,5.605464952534613e-12,3.39760663787685e-12,4.7369780620759916e-11,3.701822388285712e-12,2.84339048836172e-11,1.8399286990143563e-11
,5.898397504384755e-07,9.813850955933327e-08,8.486684234744069e-12,4.21392072335173e-12,8.149906731453195e-11,5.360270792222575e-12,2.7563300815276503e-11,1.6946448931324427e-11
,8.71396266102705e-07,1.4513033689429678e-07,7.948775069893199e-12,3.0467583027049194e-12,1.4060414340008698e-10,7.46874708210565e-12,3.34520086762164e-11,1.981068772922187e-11
,1.287347111641327e-06,2.147705653580851e-07,1.3080377945082927e-11,3.43597362234469e-12,2.4271682892417743e-10,1.2578692007632424e-11,2.833184090078385e-11,1.6492978044419272e-11
,1.9018387594820348e-06,3.171428851583697e-07,2.2538590659570418e-11,3.361964037485858e-12,4.1912732016923597e-10,2.1058319330632358e-11,3.954724107125609e-11,2.0235862319475805e-11
,2.8096319630680733e-06,4.6743061446645e-07,3.823686816476039e-11,3.56657268497686e-12,7.237952508965482e-10,3.571146945982367e-11,3.167205930167423e-11,1.8740877004383663e-11
,4.150711124967689e-06,6.914609751129478e-07,6.53801227265389e-11,5.861140383674381e-12,1.2499499959362428e-09,6.198227511011178e-11,3.434497684453812e-11,2.3159814719787492e-11
,6.131863364520761e-06,1.0211327692851704e-06,1.1237467580886583e-10,4.000471371751661e-12,2.158458830075886e-09,1.0743960503113636e-10,4.5836841302516945e-11,1.9458298865808186e-11
,9.05855209654326e-06,1.5067993145363489e-06,1.9398538811271144e-10,5.726835370334239e-12,3.727402461180994e-09,1.8479365216856088e-10,4.091427934244162e-11,2.1966333711791902e-11
,1.3381994347781071e-05,2.2250050967124264e-06,3.3508892473277997e-10,9.007515333950148e-12,6.43652870374034e-09,3.1818049196456413e-10,3.371132846165297e-11,1.9804134317063923e-11
,1.9768691451868823e-05,3.287343112374225e-06,5.785684911549818e-10,1.5640276551123793e-11,1.1114601365300299e-08,5.492022148065764e-10,2.988590904435623e-11,1.8784341452771213e-11
,2.920311543745958e-05,4.858392827964128e-06,9.99077210601158e-10,2.7359282589799434e-11,1.9192439305503666e-08,9.512634953727646e-10,3.470396379013852e-11,2.089886174556052e-11
