description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=isg,6.728102700451082e-12,5.753955022147886e-12,1.5432582177204663e-11,1.2199677916146062e-11,3.4085383267865063e-11,2.7900555740012778e-11,8.171515293360947e-11,6.674077912650253e-11
CPF4&6,3.072415049471652e-12,1.0701882971762614e-12,2.4092729783871526e-11,2.1080310615246798e-11,2.953228460924732e-11,2.4216340011221486e-11,5.873389481694522e-11,4.95485809414723e-11
size=10,5.346792346713583e-12,3.2365403231175312e-12,3.197562945324792e-11,2.6144992779418686e-11,1.1103400774340073e-11,8.026882085001245e-12,4.896451204721216e-11,3.717991024578519e-11
nsteps=1000,6.7436605515867375e-12,3.8513675383201154e-12,8.326770653094103e-12,5.649415150452492e-12,2.165070471360658e-11,1.4459289219703104e-11,7.771715304526027e-11,6.161967012412548e-11
"ticks = np.logspace(0,2,num=60)",8.300907515144711e-12,2.7670914983473114e-12,1.732014111660506e-11,1.3460341755818105e-11,2.3315703816777392e-11,1.8825295453931122e-11,1.1580621070490152e-10,8.952907721960197e-11
,1.2221616761450988e-11,3.375300755395843e-12,3.119955606096454e-11,2.3930049334019426e-11,8.215683943942627e-12,5.874077764522969e-12,8.083284290111895e-11,5.714325495578975e-11
,1.8085201251481664e-11,4.386643216356659e-12,6.772956862006714e-12,4.441470924405276e-12,1.1990994396606735e-11,8.932736399130085e-12,5.685048470408645e-11,4.124152067550642e-11
,2.6554329462814586e-11,6.13938863768315e-12,1.7431923137700337e-11,1.2994785447947881e-11,9.77125910351591e-12,5.3009190535967245e-12,3.686003592589428e-11,3.0679801799814375e-11
,3.917542409489192e-11,9.36684803384631e-12,2.4536887045324767e-11,1.937320267657768e-11,1.532182690951883e-11,1.242872251337236e-11,7.161794820412846e-11,5.416550567152255e-11
,5.7833380952202333e-11,1.4177462985193007e-11,1.4768568298730396e-11,1.1151800502269692e-11,7.438701205052337e-12,5.774576891817153e-12,4.541333235697292e-11,3.075848774394774e-11
,8.541675420628763e-11,2.081789193076485e-11,1.3323094005250737e-11,9.965681481815974e-12,7.328660289540184e-12,5.150330322849066e-12,1.1981598893907635e-10,8.926203271894318e-11
,1.2607802915146299e-10,2.911228949711431e-11,9.658969131209907e-12,5.80577339514188e-12,1.3767239490272221e-11,9.331020312889165e-12,9.126693271332556e-11,7.070169079860636e-11
,1.8622228576407617e-10,4.153518119108985e-11,2.154141945909113e-11,1.608529082398682e-11,1.322256162091745e-11,8.935493397597703e-12,4.95174204431437e-11,3.2843505135769575e-11
,2.7500827260097427e-10,6.249258346474506e-11,1.06585056520433e-11,5.9005342191021595e-12,1.5655990924691535e-11,1.1223683898889124e-11,5.241950325788393e-11,4.3090855327992176e-11
,4.0631292975589444e-10,9.180924196149715e-11,3.019941038385842e-11,2.239305391974576e-11,2.910468012666165e-11,2.032040906632457e-11,5.939977278662775e-11,3.9979865390279555e-11
,6.002097843305102e-10,1.3185561481978253e-10,9.215451820325435e-12,4.83698266997545e-12,1.1336073443469187e-11,8.43497638945838e-12,4.286814329287194e-11,2.9290536408165845e-11
,8.866856806422439e-10,1.9830793121749294e-10,2.2871779015461318e-11,1.4139041548392208e-11,1.4322703222247133e-11,1.0043988439205665e-11,1.0604088684581558e-10,7.19463313312553e-11
,1.309964144761496e-09,2.908751713257832e-10,1.821299415902802e-11,1.2353511650756272e-11,1.6656590474209497e-11,1.1070198249192185e-11,1.061555176669028e-10,7.949776763071752e-11
,1.9353340969236994e-09,4.130716422053419e-10,1.4664669059029568e-11,1.0690896778407368e-11,1.7766119997479555e-11,1.1399649281948641e-11,7.037985514201735e-11,4.018383042988583e-11
,2.8591934938568876e-09,6.333901225266853e-10,2.3100783911218446e-11,1.5332877884209892e-11,2.9325307228936195e-11,2.1099936009434197e-11,1.0964889323635389e-10,7.9967437652279e-11
,4.223998328173963e-09,9.083457663689391e-10,6.6753489443776526e-12,3.5138726664135637e-12,1.687787812331604e-11,1.1001451554604648e-11,3.597464369967095e-11,1.9771078847336272e-11
,6.2403251426529365e-09,1.346778067150896e-09,2.0775476703987076e-11,1.1700814020559759e-11,1.1214719441652639e-11,6.071146543592145e-12,8.51655856829386e-11,5.249181914199656e-11
,9.219251950318117e-09,1.9839877144084465e-09,1.5553105755944477e-11,9.907731282026756e-12,1.2992227394534247e-11,6.727507667956343e-12,1.4459097886115837e-10,1.127361704013779e-10
,1.3620215371416337e-08,2.9287938323388686e-09,1.1326262609109437e-11,4.949732292379156e-12,1.7436547053224995e-11,8.984340707190902e-12,4.8744858770028356e-11,2.0579253916252814e-11
,2.0122036451131195e-08,4.284652925850066e-09,1.2566732591950083e-11,6.52714586766374e-12,1.9546728986150927e-11,1.0947714026123086e-11,5.5305769249199185e-11,3.4249888004215213e-11
