description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wc1,0.005676835351751631,0.0029548448320750394,1.2500552616959836e-06,2.454684857118951e-07,1.1484881614205136e-06,2.3164327442353604e-05,7.290083218456556e-06,1.250004149565008e-06,3.0681047782058197e-10,1.7703369496422681e-09
alpha=0.3,0.006017570980249064,0.003071372994426068,1.3589787267129476e-06,2.5069676649912974e-07,1.2904971741098844e-06,2.528095916423801e-05,7.434260883045884e-06,1.358910167105099e-06,3.1167392091574783e-10,2.047620293229905e-09
CPF1&2,0.006378756929302473,0.003191599435922622,1.477427470534658e-06,2.673814940823596e-07,1.4500649293525534e-06,2.7590994143151876e-05,7.573839596787076e-06,1.4773395100510289e-06,3.4533286029629564e-10,2.3683629872912058e-09
size=8,0.006761620422307505,0.003314986304214102,1.606247422835392e-06,2.985228725267455e-07,1.6293623906732984e-06,3.0112103741516007e-05,7.716654143697948e-06,1.6061384273214443e-06,4.216438391589601e-10,2.739379079727936e-09
nsteps=100,0.0071674623076831276,0.0034408671028246345,1.7463593766464809e-06,3.392996694038882e-07,1.830828922393424e-06,3.286357388613378e-05,8.190692748510966e-06,1.7462282282401218e-06,5.142318868085669e-10,3.1685510751535277e-09
"ticks = np.logspace(0,1,num=80)",0.007597661473320819,0.003568448535851391,1.8987649662933636e-06,3.872633898352497e-07,2.0572054686063624e-06,3.5866452572008195e-05,8.8925365159134e-06,1.8986113062398796e-06,6.230537858911158e-10,3.6649983876005795e-09
,0.008053679525401581,0.0036968136451784937,2.06455300962322e-06,4.415935458961094e-07,2.3115718331076556e-06,3.914371084052513e-05,9.62633599964668e-06,2.0643774906796054e-06,7.489969300989676e-10,4.2392695752086855e-09
,0.008537065747375673,0.003824928118234111,2.244906332801758e-06,5.018600749105223e-07,2.597388568786887e-06,4.2720418462046696e-05,1.0384703003347336e-05,2.2447109216623116e-06,8.92853781379531e-10,4.903568733935847e-09
,0.00904946235583566,0.0039516520198709,2.4411091690173277e-06,5.675506569972128e-07,2.918544042963843e-06,4.662393566490809e-05,1.115877702223709e-05,2.4408974318220737e-06,1.0550896965458497e-09,5.672012789923121e-09
,0.009592610071009481,0.004075759333301823,2.654555291547081e-06,6.379736768991701e-07,3.279407318508293e-06,5.0884122378444234e-05,1.1938398947684014e-05,2.6543326780803185e-06,1.2357038554854463e-09,6.560933547904877e-09
,0.010168354020652524,0.004195967536536092,2.8867571926145095e-06,7.121533245587462e-07,3.684887572855363e-06,5.5533566585716676e-05,1.2712768376592258e-05,2.886531241564233e-06,1.434169638549392e-09,7.589224039303372e-09
,0.010778649997227694,0.0043109788664656284,3.139356533182896e-06,7.88786011382726e-07,4.140500855962875e-06,6.060783353391309e-05,1.3471930608978382e-05,3.1391369923144153e-06,1.6495265772465015e-09,8.778740124684466e-09
,0.011425571089448408,0.004419533738251133,3.4141364457090657e-06,8.662582891444832e-07,4.652445103698574e-06,6.614573770646812e-05,1.420972032203425e-05,3.413935240545873e-06,1.880851514900402e-09,1.015476616530082e-08
,0.012111314710500167,0.004520474782628897,3.7130361957705403e-06,9.428269674248602e-07,5.227684417304752e-06,7.218963963187249e-05,1.4929113517213281e-05,3.7128671545332603e-06,2.128601816778308e-09,1.1746550714361417e-08
,0.012838210046584957,0.00461281704458871,4.038168973729793e-06,1.0173396719014322e-06,5.874043753335304e-06,7.87857698026054e-05,1.565065633735298e-05,4.038047298791852e-06,2.3976525796649325e-09,1.358793159863059e-08
,0.013608725950822268,0.004695816341059028,4.391843726968201e-06,1.09210697370757e-06,6.600315324325644e-06,8.598458217320204e-05,1.6421149174524337e-05,4.391785110886295e-06,2.701296308340176e-09,1.5718052798261004e-08
,0.014425479309027637,0.004769024690583657,4.776592014868537e-06,1.182845368287536e-06,7.416378135723507e-06,9.384113993917505e-05,1.730961646399883e-05,4.776611390564021e-06,3.0578339778039272e-09,1.818219699304952e-08
,0.015291243905449534,0.004832321461961689,5.195201002721671e-06,1.3172624191572288e-06,8.33333229577272e-06,0.0001024155365482655,1.837426666578252e-05,5.1953109399816655e-06,3.474356970133169e-09,2.1032750332664378e-08
,0.016208959818203236,0.004885915239183011,5.650753634294393e-06,1.4879480134585146e-06,9.363649917015426e-06,0.0001117733551513151,1.9620792264740397e-05,5.6509624263592255e-06,3.942135778290898e-09,2.433031456260478e-08
,0.01718174337589167,0.004930328919363853,6.1466767250948475e-06,1.6750760489670103e-06,1.052134466637095e-05,0.00012198617000845952,2.099842140196927e-05,6.146986350446974e-06,4.447881325341871e-09,2.8144996143719032e-08
,0.018212897708756094,0.0049664127012037235,6.686797268151661e-06,1.8680568525507702e-06,1.1822162246187237e-05,0.00013313209367731124,2.2426456331339583e-05,6.687201488663619e-06,4.980094430425781e-09,3.255789772631794e-08
,0.01930592392965715,0.004995476308816107,7.2754063421182e-06,2.059487992092628e-06,1.3283794419531446e-05,0.0001452963741566228,2.3815729587657394e-05,7.275889278715089e-06,5.53018311139789e-09,3.76628415651662e-08
,0.020464532982258477,0.005019687599014164,7.917328719250671e-06,2.242099953706066e-06,1.492611946137828e-05,0.00015857204655233542,2.5077259653517773e-05,7.917864439863262e-06,6.0930786142821614e-09,4.356836483962212e-08
,0.021692658195979223,0.005042936750235107,8.61799475344311e-06,2.408233948109259e-06,1.677147230700226e-05,0.00017306064423258205,2.6125697182458372e-05,8.618548277999702e-06,6.667957897394426e-09,5.0400027900921124e-08
,0.022994468589587078,0.00507238375869421,9.383509495987375e-06,2.549310305615043e-06,1.8844948072008542e-05,0.00018887297490549824,2.7077133587320657e-05,9.38403971894609e-06,7.2578350438034816e-09,5.830308356266608e-08
,0.02437438296776165,0.005120793363152019,1.0220712560038518e-05,2.6551982060913144e-06,2.1174743039162572e-05,0.000206129967534447,2.7874387648619945e-05,1.0221177155066495e-05,7.865774905909273e-09,6.744556612921769e-08
,0.025837084857533034,0.005209061513180441,1.1137221722935409e-05,2.71797048391197e-06,2.379253776285287e-05,0.00022496359656194444,2.8347637221512035e-05,1.1137583841072698e-05,8.53547613184882e-09,7.802186273908145e-08
,0.027387538334235968,0.005365615462320588,1.214145395318478e-05,2.742426364200761e-06,2.673392747098777e-05,0.00024551789048446373,2.8886019236489223e-05,1.2141689836111363e-05,9.464137325290675e-09,9.025684724048249e-08
,0.02903100478950409,0.005615783491306084,1.3242619454778023e-05,2.8175671710794313e-06,3.003890559408485e-05,0.0002679500324748152,3.1195860876455905e-05,1.3242725484975586e-05,1.0772075681596948e-08,1.0441066079048767e-07
,0.030773060696873116,0.00596431478841292,1.4450687397623435e-05,3.2114314041676946e-06,3.375240699761341e-05,0.00029243156144670294,3.5793955965499e-05,1.4450684667931557e-05,1.2545331341133709e-08,1.2078424394295873e-07
,0.03261961643377493,0.006392385753359566,1.5776325475715904e-05,3.832092249114045e-06,3.7924918256331485e-05,0.0003191496827132601,4.114363746517246e-05,1.577625987810929e-05,1.4721756304196704e-08,1.3972573123378238e-07
,0.0345769362221054,0.006871353029211677,1.7230818730187107e-05,4.517186949805759e-06,4.261316325359318e-05,0.0003483086982355959,4.656260877882538e-05,1.7230754770526314e-05,1.718979262431363e-08,1.6163785485978032e-07
,0.036651659253118085,0.007374850915814834,1.8825976045231112e-05,5.202108230085505e-06,4.7880873378825433e-05,0.0003801315673587951,5.168595125418601e-05,1.882598377344113e-05,1.9823108864878455e-08,1.8698650482395528e-07
,0.038850822066182865,0.007883671208200603,2.0574036504335202e-05,5.831390592922606e-06,5.379965276651676e-05,0.0004148616099284821,5.622432938206123e-05,2.057417218418535e-05,2.246433887602345e-08,2.1631063167548246e-07
,0.0411818822549243,0.008387025814528205,2.2487593061740376e-05,6.351861985700611e-06,6.044995028472325e-05,0.00045276436476137993,5.9956411405418365e-05,2.2487876291456024e-05,2.490725556089557e-08,2.50233704818686e-07
,0.043652743578456346,0.008882042149272615,2.4579559087936435e-05,6.713884715577233e-06,6.792215140978424e-05,0.0004941296176174371,6.281453858621192e-05,2.4579950633803087e-05,2.778076876227107e-08,2.8947696067612627e-07
,0.04627178255985118,0.009370821240402531,2.686321243493535e-05,6.91729446913172e-06,7.631780478815948e-05,0.0005392736141247647,6.510807991788363e-05,2.686359878109887e-05,3.033540815659326e-08,3.348747349325854e-07
,0.04904787665863897,0.009854319890415441,2.9352359133487065e-05,7.378083378001256e-06,8.575100004545442e-05,0.0005885414744871595,6.789155601796799e-05,2.9352550032227145e-05,3.260702702524756e-08,3.8739219425060004e-07
,0.05199043410904566,0.010325085359653275,3.206165808147821e-05,8.600013038608054e-06,9.634991548502947e-05,0.0006423098283560037,7.246324998366817e-05,3.206140227878478e-05,3.859261106586317e-08,4.481458450982317e-07
,0.055109425520831465,0.010763909139989227,3.500713199278171e-05,9.899190509608544e-06,0.00010825855657538462,0.0007009896899026951,7.867303661405734e-05,3.500615372521802e-05,4.579732567585595e-08,5.184272637758567e-07
,0.0584154173450305,0.011143989844004021,3.8206854092602354e-05,1.093690861081108e-05,0.00012163870871690252,0.0007650295949569916,8.76606371091416e-05,3.8204908307193174e-05,5.161550048467823e-08,5.997305394374434e-07
