description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=isg,0.09655995568619577,0.026847748156435727,0.000223225311326483,6.513034359783566e-06,3.8093506949324495e-05,0.0007008188653771541,0.0002631776746807365,0.00022323838252977384,6.477423738406705e-08,2.2139139679439557e-07,1.3314694100702686e-08,3.519435984299387e-09
CPF1&2,0.10235550241926002,0.027190720758869465,0.00024378057623994424,7.128709147138549e-06,4.280337226054916e-05,0.0007648541206240007,0.00028742346715643,0.0002437962532746145,7.598156722241202e-08,2.558315562576528e-07,1.540353052643461e-08,4.174647257381794e-09
size=8,0.10849886415258927,0.027388373826903758,0.0002663050423653568,7.742586625759565e-06,4.809552427839475e-05,0.0008347401940792916,0.0003143773596625471,0.00026632399386946,8.918679494702746e-08,2.956454382324061e-07,1.7820091253856627e-08,4.9486765029090375e-09
nsteps=100,0.11501091041133374,0.027419855792586465,0.00029094898914322693,8.35056258989043e-06,5.40419443380334e-05,0.0009110116337840911,0.0003442135162500442,0.0002909719328600071,1.0466900170902584e-07,3.4167318623090174e-07,2.0615760684965684e-08,5.856063464480838e-09
"ticks = np.logspace(0,1,num=80)",0.12191376239623336,0.028415233908423845,0.00031786761913139014,9.486406550900718e-06,6.072351068622536e-05,0.0009942518204291216,0.0003770783108475056,0.0003178952952196199,1.2272281192510118e-07,3.948864662934472e-07,2.3849980973485783e-08,6.911533332369634e-09
,0.12923086798826477,0.03110761937841662,0.0003472216253790842,1.155677680629962e-05,6.823109758527186e-05,0.001085097427489541,0.0004130677465722594,0.00034725475730064257,1.4364529857294104e-07,4.5640902586520133e-07,2.759164424745873e-08,8.129263079892107e-09
,0.1369870812397128,0.033791586983175116,0.0003791784373660443,1.3864021439735012e-05,7.666681069130208e-05,0.0011842432886824748,0.0004522094584330102,0.0003792176782902422,1.67720959504128e-07,5.275407004517657e-07,3.192022612928118e-08,9.521741671442615e-09
,0.14520874661878475,0.036411648604258856,0.0004139145207190981,1.6358352691675454e-05,8.614537467892368e-05,0.0012924477097768726,0.0004944519466814489,0.00041396038445611094,1.952062623862333e-07,6.097847306353291e-07,3.6927963337169806e-08,1.1098886021309313e-08
,0.15392378829106954,0.038911634581067424,0.0004516191848856093,1.900382914740549e-05,9.679569241092844e-05,0.0014105382654440476,0.0005396626924352723,0.0004516719624560569,2.2631525399498262e-07,7.048797891412233e-07,4.272123238472557e-08,1.286695617152271e-08
,0.16316180473762265,0.04122836379157233,0.0004925003959691223,2.175160276057018e-05,0.00010876259625080822,0.0015394181252270205,0.0005876364942723569,0.0004925600642374268,2.612090467082043e-07,8.148369065159075e-07,4.94233586068181e-08,1.4827744420366489e-08
,0.1729541690271969,0.04329153111973888,0.0005367930567719758,2.4535595916236568e-05,0.00012220881657518744,0.0016800729570530567,0.0006381162658386748,0.0005368591905829228,2.999927573852023e-07,9.419818166195788e-07,5.717690213570448e-08,1.6978681669714624e-08
,0.18333413507887183,0.045024278095179296,0.0005847700312138516,2.7269833297196998e-05,0.00013731719216978567,0.0018335784609673988,0.0006908307757409204,0.0005848417400777604,3.4272768482220616e-07,1.0890049150633526e-06,6.614681832780272e-08,1.93136339142178e-08
