description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=isg_wc,0.009656420768576384,0.004359814570548826,1.4727048287587251e-05,1.0943851300732416e-06,2.4456435553063422e-06,6.443333456608774e-05,2.9109260567652076e-05,1.4734105489586259e-05,7.044097548984475e-09,1.5666710340482212e-08,5.531018330499344e-10,2.474552589985386e-10
CPF1&2,0.010236028040016169,0.004357458637448119,1.518620982652276e-05,1.1584744406196938e-06,2.7480433334553282e-06,7.032087075816382e-05,2.996231388540502e-05,1.5193886302170227e-05,7.682390305147531e-09,1.8124211395527e-08,6.398337432554357e-10,2.6977234254418115e-10
size=8,0.010850423319343112,0.004330799280195805,1.5580052880863842e-05,1.2193284633911633e-06,3.087833269519235e-06,7.674636395726426e-05,3.067111802510178e-05,1.5588351407936194e-05,8.332021854660017e-09,2.0967219116854987e-08,7.40214364165614e-10,2.9249902844974064e-10
nsteps=100,0.011501694364518611,0.004276809524510916,1.5892596929723966e-05,1.2749959608883875e-06,3.469636257268438e-06,8.375896672173608e-05,3.120020883952421e-05,1.5901503577585673e-05,8.979432778290036e-09,2.4256216452356323e-08,8.56321410802366e-10,3.151393439465511e-10
"ticks = np.logspace(0,1,num=80)",0.012192054200834485,0.004192308874111098,1.610637650417238e-05,1.3231207008109597e-06,3.898646743462757e-06,9.141232233448113e-05,3.150993673851111e-05,1.6115855139559855e-05,9.606621257463663e-09,2.806116072207231e-08,9.90665385873952e-10,3.370908112717119e-10
,0.012923848633682549,0.004073988400251614,1.6202739441861618e-05,1.3608889862328568e-06,4.380701320240526e-06,9.976497509062016e-05,3.155648774623402e-05,1.6212724930222662e-05,1.0190421144391333e-08,3.2462920239936136e-08,1.1460962095735585e-09,3.575570393872122e-10
,0.013699564211590678,0.00391844482980432,1.6162443756630578e-05,1.3849755947052056e-06,4.9223581958805405e-06,0.00010888081797525669,3.129214355981965e-05,1.6172833550927667e-05,1.0701791165918043e-08,3.755516830923636e-08,1.3259509973906032e-09,3.756047377907321e-10
,0.014521836666274749,0.003722225155182402,1.596678473048533e-05,1.3914901377101779e-06,5.530986291809772e-06,0.00011882958129588205,3.066596149778277e-05,1.597742847281962e-05,1.1104889528756461e-08,4.3446221792571116e-08,1.5339287755080514e-09,3.8987631859199394e-10
,0.015393459858372743,0.003481883404712765,1.5599717648591345e-05,1.375926472671951e-06,6.214865549117349e-06,0.00012968736588627876,2.9625254774479662e-05,1.561040445070102e-05,1.1356461660717976e-08,5.026135189874366e-08,1.7745478325241606e-09,3.991199190029975e-10
,0.016317395258960067,0.003194051305143891,1.5051981109531716e-05,1.3331179780926938e-06,6.98329953086007e-06,0.00014153722509531886,2.8118798131336355e-05,1.5062424616083733e-05,1.1406400522842199e-08,5.8145563250908496e-08,2.05296346506885e-09,4.017962441789542e-10
,0.01729678199897787,0.0028555246372472948,1.4329516821416905e-05,1.257203512498258e-06,7.846741841588443e-06,0.0001544697998018563,2.6104439071555748e-05,1.4339340893416239e-05,1.1199970486852616e-08,6.726640825291158e-08,2.3750295805264694e-09,3.9632803409972955e-10
