description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=hei,1.0735263597873862e-07,3.0862084506006156e-08,1.0079506775474099e-12,4.1434546022244583e-13,1.7458010433204166e-11,1.9847274986015736e-12,3.188642512696354e-12,2.810238045959453e-12
CPF4&6,1.2419352183827414e-07,3.53041149735426e-08,1.1606895309301098e-12,5.075861189109328e-13,2.1355039772573335e-11,2.113423567926982e-12,3.2592530720158866e-12,2.1816531209959768e-12
size=8,1.4367620536056562e-07,4.064246950460309e-08,1.5936081366637083e-12,7.484917555884533e-13,2.6170308517772385e-11,2.5107713997887872e-12,3.9376726555431615e-12,2.135684164213798e-12
nsteps=100,1.662150852524335e-07,4.7018328434016674e-08,1.72137945598753e-12,3.2251480334075636e-13,3.209322662079028e-11,3.1905398828023942e-12,4.78821958279637e-12,3.736543984488729e-12
"ticks = np.logspace(0,1,num=80)",1.922895636462457e-07,5.453622259533402e-08,2.2101938344644855e-12,6.024324910201709e-13,3.940718122090008e-11,4.342677491960129e-12,3.887921062561688e-12,2.92000115288713e-12
,2.2245420495115809e-07,6.325864374640947e-08,2.653763049366104e-12,6.110408551622699e-13,4.8264953406611926e-11,5.808981212613848e-12,4.233483869060804e-12,2.7794890982010714e-12
,2.573505826612612e-07,7.32063189869827e-08,3.131976094869608e-12,7.200891917095998e-13,5.920025085214243e-11,7.558624023279378e-12,2.73327108494569e-12,1.7460040763577755e-12
,2.977208847843053e-07,8.436407161829987e-08,3.845649484524796e-12,6.624487828597408e-13,7.258238650591854e-11,9.559504059246763e-12,2.8656001374473e-12,1.658870069113948e-12
,3.4442369559485786e-07,9.66959963317623e-08,4.70816338342693e-12,6.733909394235573e-13,8.900167882486662e-11,1.1993164257570618e-11,3.2367063273452753e-12,2.8872058132504905e-12
,3.984522634284795e-07,1.1017595064557096e-07,5.780123749626764e-12,8.832247486860556e-13,1.0914444108521653e-10,1.5563424529711564e-11,3.3511837532283547e-12,2.374630060664631e-12
,4.609556052272382e-07,1.248409453269967e-07,7.01854943626632e-12,9.856689039544284e-13,1.3385528553587164e-10,1.9451180080777283e-11,2.8061766383653385e-12,2.107155640546298e-12
,5.332629514171509e-07,1.4087798481365344e-07,8.61067866081304e-12,1.1778322239292485e-12,1.6414210207082475e-10,2.3319222299668323e-11,3.5531326102049063e-12,2.111975904037237e-12
,6.169119524364094e-07,1.5875284792405314e-07,1.0529885503041708e-11,1.3257835371350755e-12,2.012728787378185e-10,2.6811695755560654e-11,3.6010554647770447e-12,2.250711481754952e-12
,7.136814366065535e-07,1.7934991414609122e-07,1.2919371457290815e-11,1.4184619579117902e-12,2.468098703600185e-10,2.94917435665662e-11,3.724315021381176e-12,2.733045941281532e-12
,8.256291508696578e-07,2.040021717049252e-07,1.5874264207434982e-11,1.4532345678302637e-12,3.0266056949628627e-10,3.0996706468568796e-11,2.534541414165368e-12,1.905577045735683e-12
,9.551355401546408e-07,2.3429704164727048e-07,1.9441714383051202e-11,1.4852778310790346e-12,3.711566817013878e-10,3.147553306946595e-11,3.64434446386373e-12,2.094284762333646e-12
,1.1049543121709495e-06,2.7173113231319333e-07,2.3813882920611123e-11,1.3733911892376952e-12,4.551500420305703e-10,3.296618680388079e-11,2.5692154753475645e-12,1.6179297994628234e-12
,1.2782709765704314e-06,3.1740305943768877e-07,2.9203796563896624e-11,1.77030974533157e-12,5.581399083581429e-10,4.624420397109743e-11,2.7348791189573827e-12,1.517042465462999e-12
,1.4787705192265627e-06,3.7188954353695045e-07,3.5812425941966225e-11,2.5629006846611754e-12,6.844432563637213e-10,6.349180597779908e-11,2.639774595614318e-12,1.5781197522905098e-12
,1.7107157119035465e-06,4.3536562091162875e-07,4.392217956834635e-11,3.4597091896785647e-12,8.393352825767348e-10,8.299045423888619e-11,2.624446604031988e-12,1.4591958711582181e-12
,1.9790376560458705e-06,5.079217929588612e-07,5.383871313332634e-11,4.82547442718086e-12,1.0292509142424026e-09,1.0634173630745834e-10,4.930492743136576e-12,2.8730958118351006e-12
,2.289440585134703e-06,5.899080291832888e-07,6.604400566053615e-11,6.627786922076747e-12,1.2621566692151683e-09,1.4138106074722885e-10,2.235510702971914e-12,1.1703091219354875e-12
,2.6485229891754294e-06,6.821698018633121e-07,8.096115900120542e-11,8.280759775200335e-12,1.5477552069556894e-09,1.7657945124157086e-10,2.902569247460215e-12,2.0380332887271263e-12
,3.0639177928788845e-06,7.864429606965218e-07,9.929918595573347e-11,9.57114820829587e-12,1.8979868950800453e-09,2.0673308941845766e-10,2.8425202565260576e-12,1.6948248632418013e-12
,3.5444545097793878e-06,9.06105024560887e-07,1.2176606783625643e-10,1.0025173344685023e-11,2.3274394149849254e-09,2.2704334995353846e-10,3.2940717588508177e-12,1.2902895144804573e-12
,4.100346638266145e-06,1.0462346792871469e-06,1.4934580654432745e-10,9.441622834706841e-12,2.8540722461156973e-09,2.377711956389012e-10,2.573172526380021e-12,1.541000028736872e-12
,4.743408655763705e-06,1.2119213735178922e-06,1.8309649270477782e-10,9.188500593078425e-12,3.49985266948764e-09,2.720685519812447e-10,3.362341150903261e-12,2.493582239689205e-12
,5.4873067657860295e-06,1.4060738285130677e-06,2.2452183976366932e-10,1.3159781962979021e-11,4.291710659872847e-09,3.621766974605615e-10,4.7455555835974104e-12,2.3168046061174015e-12
,6.347849081202078e-06,1.6291208565168028e-06,2.7535177952099445e-10,1.766263228009964e-11,5.262768461543978e-09,4.6532626482523927e-10,3.2601421344034303e-12,1.7289069996148445e-12
,7.343321102483235e-06,1.8813006739163928e-06,3.376770677028252e-10,2.4553077575870697e-11,6.453468407375456e-09,5.82729928341273e-10,2.540662446397779e-12,2.0085042573992633e-12
,8.494873821639696e-06,2.1658710116602523e-06,4.140759807877683e-10,3.417058492959958e-11,7.913542954527533e-09,7.728151921379817e-10,3.754542006874753e-12,2.1389030026533016e-12
,9.826972568654816e-06,2.491164654398899e-06,5.07725447615443e-10,4.193498531491968e-11,9.703949310319757e-09,9.48649027441023e-10,2.643860472867816e-12,1.3179794892470211e-12
,1.136791598892219e-05,2.8715958034791368e-06,6.226250746686221e-10,4.5148886809680415e-11,1.18993255636514e-08,1.0699912010746697e-09,3.0410044264233874e-12,1.2999536121363552e-12
,1.31504364568667e-05,3.324720179727912e-06,7.63507975875177e-10,4.224213401629107e-11,1.4591351365445677e-08,1.1406191283443132e-09,4.536704207386437e-12,2.185909517093224e-12
,1.5212394177180411e-05,3.859267776345035e-06,9.362615446516583e-10,4.745894550696403e-11,1.78922826352927e-08,1.3999816824905403e-09,3.314536618774581e-12,1.8949885196068504e-12
,1.759758009508013e-05,4.4667075248176245e-06,1.1481165850062152e-09,6.590823431518346e-11,2.1939895017396385e-08,1.8258300297747658e-09,3.184804290302064e-12,1.6443097808990133e-12
,2.035664423990083e-05,5.132740647313206e-06,1.4078920294525644e-09,8.57780114300157e-11,2.690299513288037e-08,2.216495242070327e-09,2.823248838835687e-12,1.8449404666853407e-12
,2.3548169373661603e-05,5.8629686235618774e-06,1.7264115663770327e-09,1.2331143699957786e-10,3.298862032985218e-08,2.923878682171308e-09,2.9840369556345113e-12,1.8957868575298358e-12
,2.723991239349723e-05,6.7015443099506766e-06,2.117022451323034e-09,1.4992433349547242e-10,4.0450611393533295e-08,3.5637689949069647e-09,2.9340393288253172e-12,1.0904699069257042e-12
,3.151023989613126e-05,7.717263468785287e-06,2.5959878321437584e-09,1.5292660826689793e-10,4.960019865479463e-08,3.94493567800702e-09,3.4691773159126342e-12,2.0628992031796903e-12
,3.64497880586797e-05,8.9536553267519e-06,3.183297585080534e-09,1.4479042789398723e-10,6.081890372096561e-08,4.415596671457732e-09,3.4528479578914846e-12,1.92153358968205e-12
,4.216338189629784e-05,1.0399722978173914e-05,3.9034308664649196e-09,1.9690833389767895e-10,7.457456006741227e-08,5.705454645667097e-09,4.027101997219318e-12,2.0602234566892734e-12
,4.8772254327727986e-05,1.2035910378117137e-05,4.786475992616415e-09,2.669008650137413e-10,9.144067493043062e-08,7.099953439980248e-09,3.160035083751576e-12,1.906893733130629e-12
,5.6416611931645665e-05,1.3907382934622418e-05,5.869274594552538e-09,3.809442616402258e-10,1.1212037266768378e-07,9.419309689200964e-09,3.131747924452056e-12,1.4470602252093417e-12
,6.525860100627633e-05,1.6115055253251434e-05,7.196964961139489e-09,4.393803333244845e-10,1.374757262632124e-07,1.118540278499683e-08,3.0874169972614038e-12,1.6244641910769613e-12
,7.548573712777108e-05,1.8716685764993055e-05,8.82494605787096e-09,4.157673335853415e-10,1.685634813427353e-07,1.2338350795249474e-08,4.023400119348375e-12,1.9789518408562353e-12
,8.731486921711122e-05,2.167572363330589e-05,1.0821186985423698e-08,5.041732637871569e-10,2.0667922458851512e-07,1.539467582373824e-08,5.136698356151527e-12,2.3883120166954644e-12
,0.00010099676256823353,2.4979681738914208e-05,1.3268799141589832e-08,6.780414960738857e-10,2.534110837729675e-07,1.9054492293021464e-08,4.611157625116039e-12,1.1042952015013525e-12
,0.00011682139619116891,2.8810831875220347e-05,1.6269964561699206e-08,9.745419637252406e-10,3.1070600068068796e-07,2.5078393000411758e-08,6.034626524120586e-12,1.7712209129364094e-12
,0.00013512408602963394,3.3418769367436903e-05,1.994971708165311e-08,1.0921464743834503e-09,3.809506261346039e-07,2.9474811655737213e-08,7.412893109515083e-12,1.137733330045939e-12
,0.00015629256245513597,3.878830555673012e-05,2.4461608485421025e-08,1.0772056387054692e-09,4.6707051841974536e-07,3.419009303456594e-08,9.491343062097653e-12,1.8427998809500597e-12
,0.0001807751498235807,4.4689728047506585e-05,2.999371775796916e-08,1.305192919769343e-09,5.726516670792248e-07,4.1226053408151655e-08,1.2191851511221554e-11,1.774571239912624e-12
,0.00020909021984475684,5.125686514823381e-05,3.6776521464454815e-08,2.0114603196139136e-09,7.020897498205926e-07,5.413991522550782e-08,1.545578866763718e-11,1.3137991325556489e-12
,0.0002418371159380706,5.909511185113936e-05,4.509281997728986e-08,2.433368188073163e-09,8.60772555641054e-07,6.595270323665429e-08,2.0243864238806326e-11,2.0567782745085843e-12
,0.00027970877698441776,6.842571351358927e-05,5.528912486382491e-08,2.3390961928761638e-09,1.0553037643222926e-06,7.467002111962684e-08,2.622124116132466e-11,1.7612908088173926e-12
,0.00032350632321361867,7.902782316117402e-05,6.77903347473071e-08,2.90903083578759e-09,1.2937769895343762e-06,9.078824074922862e-08,3.394027650988618e-11,1.4217200187028452e-12
,0.00037415590899711584,9.13853625059977e-05,8.311722152802684e-08,4.396065273658433e-09,1.5861118918454858e-06,1.2077096799560414e-07,4.4449230442576706e-11,2.3693042018717894e-12
,0.00043272819225399057,0.00010610821412525859,1.0190821424319077e-07,5.029647805543409e-09,1.9444653175777506e-06,1.4403456763656797e-07,5.809908684819431e-11,2.4452023113487195e-12
,0.0005004608256803295,0.00012266249654244263,1.2494576505528246e-07,4.985690228109854e-09,2.38373570327511e-06,1.6647990927259265e-07,7.46933724692489e-11,2.9000825055311727e-12
,0.0005787844360482118,0.0001413919335605801,1.5318938024601713e-07,7.216732714448751e-09,2.9221802746375307e-06,2.130778126243636e-07,9.699314437602051e-11,2.6861204866751585e-12
,0.0006693526299303529,0.0001640277698903023,1.878147501188304e-07,9.533631346467453e-09,3.582171407344527e-06,2.6919954399734994e-07,1.2576071141300812e-10,3.799889611458844e-12
,0.0007740766467798775,0.00018994257454614115,2.3026302402392697e-07,9.504650358344525e-09,4.391123163683304e-06,3.106329755451446e-07,1.6354979160237095e-10,3.957201929455175e-12
,0.0008951653740562785,0.00021846281582971655,2.8230069159704594e-07,1.2453531615146195e-08,5.382625304179039e-06,3.8373542106870865e-07,2.1246726564482186e-10,4.147322017114244e-12
,0.0010351715502069832,0.000252137701393378,3.460928305915711e-07,1.7173160174571124e-08,6.597832998165642e-06,4.910806404927691e-07,2.761180517796328e-10,7.987255321486336e-12
,0.0011970451054357386,0.00029114537462579174,4.2429261905376607e-07,1.748087009190691e-08,8.087167354498361e-06,5.64911439714153e-07,3.5865173239113017e-10,7.306489287565533e-12
,0.0013841947351207883,0.0003361651075368762,5.201521293868384e-07,2.29789495133415e-08,9.912398843773493e-06,7.08140536815808e-07,4.661641587862988e-10,8.737283517176686e-12
,0.0016005589679300289,0.0003898696814331809,6.376562481099857e-07,3.043594713436019e-08,1.2149196626260894e-05,8.936627860223002e-07,6.056943822667885e-10,1.5009425555907913e-11
,0.0018506881807558448,0.0004497255124127293,7.816887071916062e-07,3.123654525502976e-08,1.4890250020926032e-05,1.0356491003650974e-06,7.870354739486085e-10,1.2751419521819766e-11
,0.00213983923276723,0.000520219097218796,9.582336028668316e-07,4.428307144759273e-08,1.8249089143726005e-05,1.3309868612105302e-06,1.0225967740596823e-09,2.2538970248408513e-11
,0.002474084643547088,0.0006025317173884056,1.174623587428947e-06,5.1471387676783864e-08,2.236476031921248e-05,1.6076404844587837e-06,1.328762295939492e-09,2.4067969700224646e-11
,0.0028604385290763286,0.0006941888901934826,1.4398433195687954e-06,5.986161956519665e-08,2.740754814689552e-05,1.934050882828495e-06,1.7262944319751153e-09,2.143303207878192e-11
,0.0033070018430089573,0.0008015292381445479,1.7649006615903716e-06,8.168890280938906e-08,3.3585975744037026e-05,2.4576389470622056e-06,2.2428835859849944e-09,4.923700743123836e-11
,0.0038231298512082504,0.0009239010981050604,2.1632819244472162e-06,8.644379929407899e-08,4.115536978194797e-05,2.875105126766092e-06,2.9139114477148746e-09,4.016017569024118e-11
,0.004419625205032441,0.0010700185944442137,2.651508872560022e-06,1.2158122902721701e-07,5.042833601284629e-05,3.687079194379879e-06,3.78540230192546e-09,8.016541568590247e-11
,0.005108960479954281,0.0012337023639461457,3.249820448917003e-06,1.317464406924511e-07,6.178757157092532e-05,4.3543330398015355e-06,4.917656574354888e-09,6.299220681591246e-11
,0.005905534619920082,0.001428355324688715,3.9830076618466395e-06,1.7811095152915824e-07,7.570153178067482e-05,5.513937155504619e-06,6.388190084362852e-09,1.203283437520325e-10
,0.006825968383684209,0.0016486357599664284,4.88143537182191e-06,2.0042388936207936e-07,9.274358400080433e-05,6.591750963484335e-06,8.297965260364466e-09,9.248534562587512e-11
,0.007889444641787577,0.0019029297812011973,5.9822924785019936e-06,2.640131570872618e-07,0.00011361541980478007,8.264494714350996e-06,1.0778231966268716e-08,1.88615281814325e-10
,0.009118100229014681,0.0021920296830309116,7.331122236892109e-06,2.996128899976483e-07,0.0001391756683260356,9.899559530569909e-06,1.3999284503732973e-08,1.4308906838229258e-10
,0.010537477038446444,0.0025348132971831634,8.983694198103758e-06,3.9693121455828334e-07,0.00017047485644730405,1.244728240646061e-05,1.8182155194542282e-08,3.1887810787805415e-10
